domain;cc;ProbeInfo;TestDateTime;StatusCode;StatusText;DNSLookupTime;Destination;HTTPStatus;InitialConnection;NumberOfRequests;PageLoadTime;SSLNegotiationTime;TTFB;TotalDownloadedBytes
www.voazimbabwe.com;ZW;{'ASN': 30969, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '41.60.203.27', 'GeolocationAccuracy': 10000, 'IPAddress': '41.60.37.172', 'Latitude': -20, 'Longitude': 30, 'Network': 'ZOL-WIMAX-1', 'NetworkID': 61349, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.9.0.0'};2018-09-21;200;OK;600;https://www-voazimbabwe-com.cdn.ampproject.org/c/s/www.voazimbabwe.com/amp/4452468.html;200;1094;0;0;965;2817;615472
www.southerneye.co.zw;ZW;{'ASN': 30969, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '41.60.203.27', 'GeolocationAccuracy': 10000, 'IPAddress': '41.60.37.172', 'Latitude': -20, 'Longitude': 30, 'Network': 'ZOL-WIMAX-1', 'NetworkID': 61349, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.9.0.0'};2018-09-21;200;OK;0;https://www-southerneye-co-zw.cdn.ampproject.org/c/s/www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/amp/;200;0;0;0;0;728;195992
www.voandebele.com;ZW;{'ASN': 30969, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '41.60.203.27', 'GeolocationAccuracy': 10000, 'IPAddress': '41.60.37.172', 'Latitude': -20, 'Longitude': 30, 'Network': 'ZOL-WIMAX-1', 'NetworkID': 61349, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.9.0.0'};2018-09-21;200;OK;328;https://www-voandebele-com.cdn.ampproject.org/c/s/www.voandebele.com/amp/4461619.html;200;486;0;0;382;1123;1111022
www.bizday.co.zw;ZW;{'ASN': 30969, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '41.60.203.27', 'GeolocationAccuracy': 10000, 'IPAddress': '41.60.37.172', 'Latitude': -20, 'Longitude': 30, 'Network': 'ZOL-WIMAX-1', 'NetworkID': 61349, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.9.0.0'};2018-09-21;200;OK;0;https://www-bizday-co-zw.cdn.ampproject.org/c/s/www.bizday.co.zw/mandiwanzira-says-netone-telecel-also-requested-for-data-tariff-hike/amp/;200;0;0;0;0;1173;265
www.zimbabwenews.net;ZW;{'ASN': 30969, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '41.60.203.27', 'GeolocationAccuracy': 10000, 'IPAddress': '41.60.37.172', 'Latitude': -20, 'Longitude': 30, 'Network': 'ZOL-WIMAX-1', 'NetworkID': 61349, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.9.0.0'};2018-09-21;200;OK;0;https://www-zimbabwenews-net.cdn.ampproject.org/c/s/www.dailymail.co.uk/wires/afp/article-5904317/amp/Kenya-stun-Zimbabwe-gasp-45-36-win.html;200;0;0;0;0;2766;618067
www.techzim.co.zw;ZW;{'ASN': 30969, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '41.60.203.27', 'GeolocationAccuracy': 10000, 'IPAddress': '41.60.37.172', 'Latitude': -20, 'Longitude': 30, 'Network': 'ZOL-WIMAX-1', 'NetworkID': 61349, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.9.0.0'};2018-09-21;200;OK;0;https://www-techzim-co-zw.cdn.ampproject.org/c/s/www.techzim.co.zw/2018/06/heres-a-list-of-the-updates-telone-area-codes/amp/;200;0;0;0;0;362;418076
www.southerneye.co.zw;ZW;{'ASN': 30969, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '41.60.203.27', 'GeolocationAccuracy': 10000, 'IPAddress': '41.60.37.172', 'Latitude': -20, 'Longitude': 30, 'Network': 'ZOL-WIMAX-1', 'NetworkID': 61349, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.9.0.0'};2018-09-21;200;OK;0;https://www-southerneye-co-zw.cdn.ampproject.org/c/s/www.southerneye.co.zw/2016/02/25/pay-attention-to-clear-red-flags-during-dating/amp/;200;498;0;2662;382;829;329
www.southerneye.co.zw;ZW;{'ASN': 30969, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '41.60.203.27', 'GeolocationAccuracy': 10000, 'IPAddress': '41.60.37.172', 'Latitude': -20, 'Longitude': 30, 'Network': 'ZOL-WIMAX-1', 'NetworkID': 61349, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.9.0.0'};2018-09-21;200;OK;0;https://www-southerneye-co-zw.cdn.ampproject.org/c/s/www.southerneye.co.zw/2017/07/25/opposition-raises-red-flag-zanu-pf-rigging-threats/amp/;200;0;0;0;0;562;216906
www.herald.co.zw;ZW;{'ASN': 30969, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '41.60.203.27', 'GeolocationAccuracy': 10000, 'IPAddress': '41.60.37.172', 'Latitude': -20, 'Longitude': 30, 'Network': 'ZOL-WIMAX-1', 'NetworkID': 61349, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.9.0.0'};2018-09-21;200;OK;418;https://www-herald-co-zw.cdn.ampproject.org/c/s/www.herald.co.zw/under-the-eaves-with-igomombe-opposition-trapped-in-own-argument-actions/amp/;200;907;0;0;781;1831;293735
www.southerneye.co.zw;ZW;{'ASN': 30969, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '41.60.203.27', 'GeolocationAccuracy': 10000, 'IPAddress': '41.60.37.172', 'Latitude': -20, 'Longitude': 30, 'Network': 'ZOL-WIMAX-1', 'NetworkID': 61349, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.9.0.0'};2018-09-21;200;OK;0;https://www-southerneye-co-zw.cdn.ampproject.org/c/s/www.southerneye.co.zw/2016/01/28/your-heart-is-where-your-treasure-is/amp/;200;434;0;0;327;742;279788
