domain|cc|testID
www.voazimbabwe.com|ZW|8af1b8b3-032c-4920-8c72-c4b6dbe066d4
www.southerneye.co.zw|ZW|3baecd9a-fee9-464a-bb36-68d56fce9838
www.voandebele.com|ZW|a0b2e356-cf59-456a-b5e0-22c0a6aa32c4
www.bizday.co.zw|ZW|0c5700b8-4ae4-49b8-8ecc-247e9888c8b9
www.zimbabwenews.net|ZW|abd1a1a3-28df-4344-883c-90127a7e2d52
www.techzim.co.zw|ZW|4314f173-3dda-4c0a-99db-7c6cbf6d1b0a
www.southerneye.co.zw|ZW|69833997-4d22-4b04-b748-f20cf5640cbd
www.southerneye.co.zw|ZW|0b3969a5-3484-4982-9444-9ce2be2ef299
www.herald.co.zw|ZW|b9dd538c-b38f-4f09-8829-106afc26e7c1
www.southerneye.co.zw|ZW|b7b59c09-bd61-4aa3-a225-e45aff1490ee
www.zimbabwesituation.com|ZW|782790b3-3659-4668-a940-44ff493145d7
www.bizday.co.zw|ZW|4cc4960c-61a7-4a11-91a9-c8458d89d4ef
www.technomag.co.zw|ZW|d942c9bd-7c33-4180-9101-75d6987a69c6
www.herald.co.zw|ZW|98f187a7-eaff-4423-9493-ef601b1c8191
www.herald.co.zw|ZW|e7beeda1-49a0-41b4-8094-2ec2e0b23985
randburgsun.co.za|ZA|b7fb0924-17fa-4086-a76a-796cad20e74d
germistoncitynews.co.za|ZA|475482b4-32f7-4655-ab46-ebb2ea008f26
www.heraldlive.co.za|ZA|09588577-1655-4ed4-a51f-7652e673856d
highwaymail.co.za|ZA|0394a3df-5dbd-4c26-ae5a-dafb558ee51a
randburgsun.co.za|ZA|6a516f90-cee6-46eb-8b85-9705de151211
lowvelder.co.za|ZA|38865adb-9f20-4060-8aed-2538132bab56
ladysmithgazette.co.za|ZA|0ce61960-17c8-4a7b-a628-3df558382c23
www.dailymaverick.co.za|ZA|c885b2f4-d1b8-40a7-be03-654265c2d00d
northcliffmelvilletimes.co.za|ZA|9972d47b-f106-45fb-a0ff-5f00c15c36cd
kemptonexpress.co.za|ZA|e938ccf0-5783-49ef-b641-6e558c76bfb1
www.kwevoel.co.za|ZA|fbd654e2-66d4-4d7d-8dc2-1caa91cef4e0
kemptonexpress.co.za|ZA|646e5bc9-0e67-44e9-a676-f69a83f4a976
northeasterntribune.co.za|ZA|7f269be2-53b2-4cfc-9ee4-14208ee90b1c
