domain|cc|testID
www.voazimbabwe.com|ZW|79b6dd71-2d36-4bc8-a7f9-c3e8c684e868
www.southerneye.co.zw|ZW|72f2aaa5-acfd-4bca-8be6-2a395d924065
www.voandebele.com|ZW|86fe7526-d4f0-4496-9f29-3cdedc73dc1b
www.bizday.co.zw|ZW|c972bdd1-7524-4538-8e5c-22ddaa9a704f
www.zimbabwenews.net|ZW|1b15b2d3-5524-4b19-a556-574a2d4165cc
www.techzim.co.zw|ZW|e723e3c3-4184-4c02-b83c-4364e29e9737
www.southerneye.co.zw|ZW|aefe18f8-06cb-4342-b874-fb82974be384
www.southerneye.co.zw|ZW|1f0220e4-89ed-4acc-a397-3efc7b2c6759
www.herald.co.zw|ZW|f612ec60-2467-489a-bb85-06caeb526c0d
www.southerneye.co.zw|ZW|b53f188e-b89d-4223-bc09-ed42635620bc
www.zimbabwesituation.com|ZW|c535f3eb-0a9b-4277-9e1d-23a7b242854c
www.bizday.co.zw|ZW|0130e6e6-6bbd-41a2-bc2e-69dcdb21cde1
www.technomag.co.zw|ZW|b18d9a91-c2a2-4a7c-820e-19b6d70a9d06
www.herald.co.zw|ZW|38ab5010-cf65-4763-a8a9-be37b6034607
www.herald.co.zw|ZW|e59fa6fd-309f-406e-acc2-4bbedb5ebf61
randburgsun.co.za|ZA|33d0ca1b-5a25-4ed0-89f4-dcf561ce01dc
germistoncitynews.co.za|ZA|d9754528-af17-4821-baf6-e0c09dc6721f
www.heraldlive.co.za|ZA|b9c7db44-564f-4f02-af6f-e919010ae14a
highwaymail.co.za|ZA|a3097e4b-073a-4e11-81ab-23ecc9a7e949
randburgsun.co.za|ZA|a1d075a1-de41-4232-a46d-a992aed1f6e7
lowvelder.co.za|ZA|59ee0f50-c88c-4ce4-9b52-0cf01cc2354c
ladysmithgazette.co.za|ZA|adde7442-e6cc-4804-a9bf-3581308b7982
www.dailymaverick.co.za|ZA|a256a951-2af6-4c92-b701-baa3f2956cae
northcliffmelvilletimes.co.za|ZA|158aef15-5e43-4f24-813c-f16742632a16
kemptonexpress.co.za|ZA|906db4ff-9cc0-48f6-b5f0-934f57d3f5c0
www.kwevoel.co.za|ZA|3b0cfedb-9eb4-4ae5-a933-bdf270b48d22
kemptonexpress.co.za|ZA|8c471398-d5ca-4799-8c3d-23208f0532b0
northeasterntribune.co.za|ZA|33c716e1-b311-4187-bd1e-f58ad7662bce
southcoastsun.co.za|ZA|38628c78-b790-4297-87bf-2065f6237409
risingsunchatsworth.co.za|ZA|0059c6ab-1abd-4aa2-a10a-362b04eae89a
guineenews.org|GQ|30fdcc63-b77a-4c08-9a1a-7ae9f3bd010d
guineenews.org|GQ|ad891370-3034-405a-8a50-e73ac60ffc9a
aminata.com|GQ|4b70782f-062d-4cac-8160-39cb26faaaa8
guineenews.org|GQ|9c8d2bf6-6114-495f-8d26-b8f0f25d65f7
guineenews.org|GQ|0e07db21-972f-4fb7-a425-515ea1cdb93a
www.guinee7.com|GQ|548950de-dbc9-4c8b-89eb-178c78a1fe90
aminata.com|GQ|31bf4df1-88f4-45dd-9529-4178c55f25d4
aminata.com|GQ|5b53aa32-2674-40d5-ad09-c57119dc0594
guineenews.org|GQ|10c58cbf-98e3-4864-b99f-3c6680b77e2c
aminata.com|GQ|47b062c9-762c-46d8-a9df-b5f61da0b06b
aminata.com|GQ|9d680a92-c457-446f-b557-9aa2ff7849cb
www.guinee7.com|GQ|f819b64c-9f29-4111-8f56-d7e2d185c623
guineenews.org|GQ|ffb116c4-bb9c-4d2b-a69e-671dac023fec
