domain|cc|testID
www.voazimbabwe.com|ZW|523f5ac4-13a3-4517-a540-2d52e867fcdf
www.southerneye.co.zw|ZW|5d8694f2-8509-4f6a-bb63-b2908c63360e
www.voandebele.com|ZW|f2693547-ffa8-47ac-ac5b-cbf3ff2fa3d8
www.bizday.co.zw|ZW|e3dfd7fd-93f9-44d6-8fd2-de781d4ab63a
www.zimbabwenews.net|ZW|a5c16151-efaf-49dd-bbf4-bc545855f5cc
www.techzim.co.zw|ZW|d68d5bc6-d3bd-4615-8fcf-d74286d1fe96
www.southerneye.co.zw|ZW|72120961-364a-4d25-9135-dfafa9f797a8
www.southerneye.co.zw|ZW|10630cc9-e4d8-47f4-8d4c-b4f043fbe18f
www.herald.co.zw|ZW|f842ff8b-775c-4e03-b792-107ed2e6f40d
www.southerneye.co.zw|ZW|1ee3f639-aa3b-4e8b-9611-49eac8cdb234
www.zimbabwesituation.com|ZW|d13e5af6-d6e6-4dee-8014-937b27f04fa7
www.bizday.co.zw|ZW|9e25473b-aaa1-4730-bcfc-85ac2cdecd95
www.technomag.co.zw|ZW|957bbc36-a94b-4276-bad3-7411a0083c33
www.herald.co.zw|ZW|0d2c2ea7-9fea-4e94-a94f-f3e40e517c0a
www.herald.co.zw|ZW|89e55e0d-8eac-45c3-b074-2d53ec211ece
randburgsun.co.za|ZA|a112ded5-0931-4d6f-ab0d-8e67bdbaecae
germistoncitynews.co.za|ZA|fad6c37b-a8b5-418d-9ac7-2f9a45ac75ea
www.heraldlive.co.za|ZA|f32efa22-83b8-4fa9-a7b2-c935a8baf20a
highwaymail.co.za|ZA|4d52ffbb-3ae0-4803-937c-a9faec986b2f
randburgsun.co.za|ZA|ca004866-9103-4b7b-92a3-781095bef8b0
lowvelder.co.za|ZA|6e96fa60-5d6d-41c6-bc60-1d56ac046a0d
ladysmithgazette.co.za|ZA|1b5e48e3-3531-4266-9591-0075d6d218ba
www.dailymaverick.co.za|ZA|d5e8eb8e-f5df-4f77-a436-b29fc9826a47
northcliffmelvilletimes.co.za|ZA|8b5ff942-4c20-408c-bb07-8c008bed8492
kemptonexpress.co.za|ZA|fb4d7487-524f-4945-9c3c-b52a40258e3f
www.kwevoel.co.za|ZA|95b72be6-641c-4c28-8d85-a628fb1929c4
kemptonexpress.co.za|ZA|e59a485d-5b3b-493e-b4d9-f0bd4b9e00eb
northeasterntribune.co.za|ZA|d0a24700-464e-4fe6-b1b6-da368cde2219
southcoastsun.co.za|ZA|068cb7c1-daf2-442e-8e9d-ba7a8abcc98c
risingsunchatsworth.co.za|ZA|af165f88-debf-4d27-8163-638ea0ed4634
guineenews.org|GQ|ec591f70-02e6-4047-955a-048b9b6dc3e2
