domain;cc;ProbeInfo;TestDateTime;StatusCode;StatusText;DNSLookupTime;Destination;HTTPStatus;InitialConnection;NumberOfRequests;PageLoadTime;SSLNegotiationTime;TTFB;TotalDownloadedBytes
www.voazimbabwe.com;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;82;https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html;200;363;0;0;279;1192;329
www.southerneye.co.zw;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;0;https://www.google.com/amp/s/www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/amp/;200;327;0;0;250;808;1263476
www.voandebele.com;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;0;https://www.google.com/amp/s/www.voandebele.com/amp/4461619.html;200;438;0;0;361;927;1936381
www.bizday.co.zw;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;0;https://www.google.com/amp/s/www.bizday.co.zw/mandiwanzira-says-netone-telecel-also-requested-for-data-tariff-hike/amp/;200;0;0;0;0;453;220296
www.zimbabwenews.net;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;0;https://www.google.com/amp/s/www.dailymail.co.uk/wires/afp/article-5904317/amp/Kenya-stun-Zimbabwe-gasp-45-36-win.html;200;0;0;1656;0;1560;1015
www.techzim.co.zw;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;0;https://www.google.com/amp/s/www.techzim.co.zw/2018/06/heres-a-list-of-the-updates-telone-area-codes/amp/;200;0;0;0;0;604;594736
www.southerneye.co.zw;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;0;https://www.google.com/amp/s/www.southerneye.co.zw/2016/02/25/pay-attention-to-clear-red-flags-during-dating/amp/;200;328;0;0;250;777;329
www.southerneye.co.zw;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;0;https://www.google.com/amp/s/www.southerneye.co.zw/2017/07/25/opposition-raises-red-flag-zanu-pf-rigging-threats/amp/;200;326;0;0;249;936;1262674
www.herald.co.zw;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;0;https://www.google.com/amp/s/www.herald.co.zw/under-the-eaves-with-igomombe-opposition-trapped-in-own-argument-actions/amp/;200;0;0;0;0;410;2206533
www.southerneye.co.zw;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;0;https://www.google.com/amp/s/www.southerneye.co.zw/2016/01/28/your-heart-is-where-your-treasure-is/amp/;200;338;0;0;260;842;1258910
www.zimbabwesituation.com;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;0;https://www.google.com/amp/s/www.zimbabwesituation.com/news/khupe-claims-chamisa-is-out-to-derail-her-campaign/amp/;200;873;0;0;795;1393;329
www.bizday.co.zw;ZW;{'ASN': 37204, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'ZW', 'DNSResolver': '197.221.229.4', 'GeolocationAccuracy': 10000, 'IPAddress': '197.221.253.16', 'Latitude': -20, 'Longitude': 30, 'Network': 'TELONE-ADSL-Broadband', 'NetworkID': 60593, 'Platform': 'ANDROID', 'ProbeID': 'a6f865e5-dbd9-48be-b27b-7838119de2a6', 'Version': '3.8.0.0'};2018-07-23;200;OK;0;https://www.google.com/amp/s/www.bizday.co.zw/armyworm-threatens-a-tenth-of-zimbabwes-maize-crop-fao/amp/;200;326;0;0;250;1042;329
