domain|cc|ProbeInfo|TestDateTime|StatusCode|StatusText|DNSLookupTime|Destination|HTTPStatus|InitialConnection|NumberOfRequests|PageLoadTime|SSLNegotiationTime|TTFB|TotalDownloadedBytes
www.voazimbabwe.com|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'UTANDE', 'NetworkID': 11227, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-06|200|OK|1241|https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html|200|109|98|32672|59|4805|1415436
www.southerneye.co.zw|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'UTANDE', 'NetworkID': 11227, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-06|200|OK|26|https://www.google.com/amp/s/www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/amp/|200|755|132|44207|534|3838|1245508
www.voandebele.com|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'UTANDE', 'NetworkID': 11227, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-06|200|OK|863|https://www.google.com/amp/s/www.voandebele.com/amp/4461619.html|200|112|79|10481|66|3406|1947943
www.bizday.co.zw|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'UTANDE', 'NetworkID': 11227, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-06|408|Test timeout|0|https://www.google.com/amp/s/www.bizday.co.zw/mandiwanzira-says-netone-telecel-also-requested-for-data-tariff-hike/amp/|200|0|19|0|0|0|223107
www.zimbabwenews.net|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'UTANDE', 'NetworkID': 11227, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-06|200|OK|0|https://www.google.com/amp/s/www.dailymail.co.uk/wires/afp/article-5904317/amp/Kenya-stun-Zimbabwe-gasp-45-36-win.html|200|0|1|1553|0|1522|1018
www.techzim.co.zw|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'UTANDE', 'NetworkID': 11227, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-06|200|OK|1|https://www.google.com/amp/s/www.techzim.co.zw/2018/06/heres-a-list-of-the-updates-telone-area-codes/amp/|200|2677|142|20493|2444|4010|2084612
www.southerneye.co.zw|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'UTANDE', 'NetworkID': 11227, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-06|200|OK|1|https://www.google.com/amp/s/www.southerneye.co.zw/2016/02/25/pay-attention-to-clear-red-flags-during-dating/amp/|200|482|129|33116|257|2466|1240240
www.southerneye.co.zw|ZW|{'ASN': 37238, 'CityName': '', 'ConnectionType': 'Unknown', 'CountryCode': 'ZW', 'DNSResolver': '', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': -17.8178, 'Network': 'Africa Online Zimbabwe', 'NetworkID': 45052, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-06|200|OK|0|https://www.google.com/amp/s/www.southerneye.co.zw/2017/07/25/opposition-raises-red-flag-zanu-pf-rigging-threats/amp/|200|531|129|38699|278|3356|1224753
www.herald.co.zw|ZW|{'ASN': 37238, 'CityName': '', 'ConnectionType': 'Unknown', 'CountryCode': 'ZW', 'DNSResolver': '', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': -17.8178, 'Network': 'Africa Online Zimbabwe', 'NetworkID': 45052, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-06|408|Test timeout|0|https://www.google.com/amp/s/www.herald.co.zw/under-the-eaves-with-igomombe-opposition-trapped-in-own-argument-actions/amp/|200|0|261|0|0|0|2475350
www.southerneye.co.zw|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'AfOL-Zw-NET8_B', 'NetworkID': 65920, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-06|408|Test timeout|0|https://www.google.com/amp/s/www.southerneye.co.zw/2016/01/28/your-heart-is-where-your-treasure-is/amp/|200|0|106|0|0|0|1195368
www.zimbabwesituation.com|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'AfOL-Zw-NET8_B', 'NetworkID': 65920, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-06|408|Test timeout|3|https://www.google.com/amp/s/www.zimbabwesituation.com/news/khupe-claims-chamisa-is-out-to-derail-her-campaign/amp/|200|1028|194|53970|781|3921|6670374
