domain;cc;ProbeInfo;TestDateTime;StatusCode;StatusText;DNSLookupTime;Destination;HTTPStatus;InitialConnection;NumberOfRequests;PageLoadTime;SSLNegotiationTime;TTFB;TotalDownloadedBytes
www.voazimbabwe.com;ZW;{'ASN': 11426, 'CityName': 'Greensboro', 'ConnectionType': 'WIFI', 'CountryCode': 'US', 'DNSResolver': '24.25.2.107', 'GeolocationAccuracy': 10000, 'IPAddress': '173.94.189.230', 'Latitude': 36.18, 'Longitude': -79.81, 'Network': 'NET173', 'NetworkID': 68156, 'Platform': 'ANDROID', 'ProbeID': 'e564f76b-4ac8-4a3e-b6f7-ec89052474d3', 'Version': '3.8.0.0'};2018-07-21;200;OK;37;https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html;200;114;0;0;76;671;1375367
www.voazimbabwe.com;ZW;{'ASN': 3320, 'CityName': 'Eschweiler', 'ConnectionType': 'Ethernet', 'CountryCode': 'DE', 'DNSResolver': '82.163.142.0', 'GeolocationAccuracy': 10000, 'IPAddress': '84.171.57.20', 'Latitude': 50.82, 'Longitude': 6.27, 'Network': 'DTAG-DIAL20', 'NetworkID': 57205, 'Platform': 'PC', 'ProbeID': '5a9745de-0d02-4e3f-9657-e053d255dba5', 'Version': '1.0.45.0'};2018-07-21;200;OK;308;https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html;200;365;95;7247;306;2568;2388233
www.voazimbabwe.com;ZW;{'ASN': 3320, 'CityName': 'Bonn', 'ConnectionType': 'WIFI', 'CountryCode': 'DE', 'DNSResolver': '217.237.150.90', 'GeolocationAccuracy': 1000, 'IPAddress': '217.235.243.191', 'Latitude': 7.21, 'Longitude': 7.21, 'Network': 'DTAG-DIAL15', 'NetworkID': 57752, 'Platform': 'ANDROID', 'ProbeID': 'c5e61e9a-bf1a-477a-b275-716cf028f97c', 'Version': '3.8.0.0'};2018-07-21;200;OK;29;https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html;200;368;0;0;316;881;1375367
www.voazimbabwe.com;ZW;{'ASN': 13285, 'CityName': 'Wingate', 'ConnectionType': 'WIFI', 'CountryCode': 'GB', 'DNSResolver': '81.1.72.85', 'GeolocationAccuracy': 2400, 'IPAddress': '78.146.175.99', 'Latitude': -4.8, 'Longitude': -4.8, 'Network': 'OPAL-DSL', 'NetworkID': 57254, 'Platform': 'ANDROID', 'ProbeID': '725d074d-b103-4324-b33f-f8b012fd4b86', 'Version': '3.8.0.0'};2018-07-21;200;OK;5025;https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html;200;107;0;0;80;5372;1375367
www.voazimbabwe.com;ZW;{'ASN': 6871, 'CityName': 'Cannock', 'ConnectionType': 'WIFI', 'CountryCode': 'GB', 'DNSResolver': '217.46.25.17', 'GeolocationAccuracy': 1000, 'IPAddress': '146.90.223.137', 'Latitude': -1.98, 'Longitude': -1.98, 'Network': 'PLUSNET-DIAL-ADSL', 'NetworkID': 57388, 'Platform': 'ANDROID', 'ProbeID': 'f009b9e0-f8f5-4c0a-8be7-cd5ee0272744', 'Version': '3.8.0.0'};2018-07-21;200;OK;40;https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html;200;136;0;0;118;514;1375367
www.voazimbabwe.com;ZW;{'ASN': 5410, 'CityName': 'Sophia Antipolis', 'ConnectionType': 'WIFI', 'CountryCode': 'FR', 'DNSResolver': '62.34.202.140', 'GeolocationAccuracy': 10000, 'IPAddress': '31.37.213.150', 'Latitude': 43.55, 'Longitude': 7.01, 'Network': 'BOUYGTEL-ISP-WIRELINE', 'NetworkID': 57248, 'Platform': 'ANDROID', 'ProbeID': '05d67bfa-4a35-4567-a0b4-9d5b5f978625', 'Version': '3.8.0.0'};2018-07-21;408;Test timeout;0;https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html;200;0;0;0;0;0;1375367
www.voazimbabwe.com;ZW;{'ASN': 3215, 'CityName': 'Angers', 'ConnectionType': 'WIFI', 'CountryCode': 'FR', 'DNSResolver': '80.10.201.101', 'GeolocationAccuracy': 10000, 'IPAddress': '90.12.54.161', 'Latitude': 47.47, 'Longitude': -0.55, 'Network': 'IP2000-ADSL-BAS', 'NetworkID': 57203, 'Platform': 'ANDROID', 'ProbeID': '14c543ce-50b1-40a5-af9d-3857c4dd36ca', 'Version': '3.8.0.0'};2018-07-21;200;OK;29;https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html;200;73;0;5167;61;684;1375367
www.voazimbabwe.com;ZW;{'ASN': 1136, 'CityName': 'Nijmegen', 'ConnectionType': 'WIFI', 'CountryCode': 'NL', 'DNSResolver': '213.75.11.47', 'GeolocationAccuracy': 1000, 'IPAddress': '77.170.7.146', 'Latitude': 5.97, 'Longitude': 5.97, 'Network': 'NL-PMG-ADSL', 'NetworkID': 57275, 'Platform': 'ANDROID', 'ProbeID': 'af0b6a21-797c-427e-a7a1-1801f010484d', 'Version': '3.8.0.0'};2018-07-21;200;OK;28;https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html;200;83;0;0;61;1049;1375367
www.voazimbabwe.com;ZW;{'ASN': 9143, 'CityName': 'Hengelo', 'ConnectionType': 'WIFI', 'CountryCode': 'NL', 'DNSResolver': '212.54.39.72', 'GeolocationAccuracy': 1000, 'IPAddress': '217.121.121.188', 'Latitude': 6.58, 'Longitude': 6.58, 'Network': 'ZIGGO-CM', 'NetworkID': 57353, 'Platform': 'ANDROID', 'ProbeID': 'ffc0f716-042a-4e7c-9b88-506e664a6e90', 'Version': '3.8.0.0'};2018-07-21;200;OK;8;https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html;200;163;0;0;137;450;1375367
www.southerneye.co.zw;ZW;{'ASN': 3320, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'DE', 'DNSResolver': '217.237.150.94', 'GeolocationAccuracy': 1000, 'IPAddress': '79.212.153.248', 'Latitude': 6.52, 'Longitude': 6.52, 'Network': 'DTAG-DIAL24', 'NetworkID': 57406, 'Platform': 'ANDROID', 'ProbeID': '757bbc08-59a9-4b41-a21e-4fe8b42f95a2', 'Version': '3.8.0.0'};2018-07-21;200;OK;20;https://www.google.com/amp/s/www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/amp/;200;275;0;0;259;606;1248815
