domain|cc|testID
www.voazimbabwe.com|ZW|9357b9d4-8293-4483-bdcf-fbb44a7976fe
www.southerneye.co.zw|ZW|fb6c6f2f-c94c-4dde-aae2-1ad71a48a0ba
www.voandebele.com|ZW|8ddf29ab-0094-4655-ae3b-1f65af04d8f4
www.bizday.co.zw|ZW|83ef2132-fe53-4823-abeb-46d658584231
www.zimbabwenews.net|ZW|8314a713-a633-43ca-9571-5c58fc57a979
www.techzim.co.zw|ZW|149cdc7e-dc2d-4841-bfd3-567ce05d9084
www.southerneye.co.zw|ZW|3113bcf4-62c3-40f2-92ed-3fafe2932ebf
www.southerneye.co.zw|ZW|7e538de1-0d3b-41c7-8135-7d2d8bc0ae7a
www.herald.co.zw|ZW|2d4dfb7c-d01e-4d37-a32e-4f3eda39652a
www.southerneye.co.zw|ZW|ba7de1d3-27d0-48fb-8740-756edc4316f0
www.zimbabwesituation.com|ZW|19c702fd-1f21-4be9-9b8a-f5fc5803bd56
www.bizday.co.zw|ZW|56fac131-7b1b-4ff9-a431-2cbcd450040d
www.technomag.co.zw|ZW|13794118-d890-4916-b2ee-3daa6a7a40a9
www.herald.co.zw|ZW|c5a3a4c4-775f-408b-9a00-455f5c064479
www.herald.co.zw|ZW|1b0196d9-a44f-4eca-9d1b-67302b84d727
randburgsun.co.za|ZA|5582b8a5-a205-445a-a808-bd7d3a106afa
germistoncitynews.co.za|ZA|6270fd82-c654-41ec-a302-bd4504ab5eac
www.heraldlive.co.za|ZA|9221fafd-01d2-42de-849a-daad8bd65f72
highwaymail.co.za|ZA|d65c7b71-aaa2-4f1f-9caf-614e360a6938
randburgsun.co.za|ZA|984c46d6-fd42-4f3f-9e8e-fe9df52867b4
lowvelder.co.za|ZA|be287c38-ee3c-43fb-a5b4-a15ec0aa8f57
ladysmithgazette.co.za|ZA|ff96821d-60f7-4994-90cc-6c9c4a7e9720
www.dailymaverick.co.za|ZA|56446cc3-5b8a-43b7-a51f-e13aa5ae293c
northcliffmelvilletimes.co.za|ZA|410e2769-bf38-49d0-8579-aca6ca29146f
kemptonexpress.co.za|ZA|79d2e270-cfe0-4ab6-ad83-5ddfcad8d0bb
www.kwevoel.co.za|ZA|37f8345e-fb31-4bcc-855e-9e25bb960978
kemptonexpress.co.za|ZA|42227720-63ed-4396-83ea-96db543394a9
northeasterntribune.co.za|ZA|5e8bc78d-2520-4c4e-87c6-bafc7e267383
southcoastsun.co.za|ZA|3dee753d-098d-4db6-8b1b-acf651f3f1a3
risingsunchatsworth.co.za|ZA|36a8e548-ccb4-418a-97bf-9b22cb915fe8
guineenews.org|GQ|5ddf7612-70de-49d2-accc-6db988535993
guineenews.org|GQ|0033dc7b-5dc5-4d8f-a559-6e33ee6556ca
aminata.com|GQ|45e1373a-c6bd-4e83-9ce9-3f851db9a228
guineenews.org|GQ|c5480870-5359-4ad5-9866-4edecdbda3e9
guineenews.org|GQ|e3c877fd-231d-49eb-a31b-e16438121e45
www.guinee7.com|GQ|93f00951-b58c-426d-9cc5-81265032f515
aminata.com|GQ|40389464-6e0f-4743-ab45-1fb5682c0954
aminata.com|GQ|5da516ce-83f0-4cdb-a4a7-6bb85013b55e
guineenews.org|GQ|412a1bfa-820b-49aa-9b79-fc443ec3963f
aminata.com|GQ|ec7c5e76-f1ad-4f58-9144-efddadfb4ec4
aminata.com|GQ|6e04b82f-4f24-4556-8816-33ca603720ec
www.guinee7.com|GQ|4cd80db7-4c4d-47d4-8f3b-31ab27245668
guineenews.org|GQ|77e42257-50bf-4b42-8d3e-fa3d5e201981
guineenews.org|GQ|94ca3675-b125-42ca-aafd-131945d738e1
aminata.com|GQ|3220d5b1-0f7c-4541-87a7-dbe53b131fc2
www.ondoevents.com|NG|3b2718ed-2b19-45fd-9ee8-32fdaac1595f
www.nan.ng|NG|3030bd2a-ccff-4e6e-a470-65584efe155d
flashpointnews.wordpress.com|NG|db2cc6a7-ee74-420f-9be1-da941b396b06
worldstagegroup.com|NG|e5243176-bd7b-4e94-b330-7fbe03d1f7cb
dailystar.com.ng|NG|b421e562-8858-4575-a800-6b316f53fe0a
worldstagegroup.com|NG|6bf90caf-faf7-4f91-9f6a-d01cc38a8bb0
dailypost.ng|NG|aef3ac75-c7f5-4d84-826a-2e924097e36e
thenationonlineng.net|NG|1c9f5187-9362-4b38-abdf-1c90acf7803c
worldstagegroup.com|NG|d048e7c8-3a19-48e0-a178-894903da57c0
www.peoplesdailyng.com|NG|bd118548-3874-4f93-852b-05e6de5838b9
thenationonlineng.net|NG|04ae323c-e5ea-4fd8-a460-ceaff1047133
www.latestnigeriannews.com|NG|98fdea47-dff1-4901-8a81-33382bc18bf5
www.thebreakingtimes.com|NG|7f255c3f-7330-4559-96b3-b6e8e5eba0fc
www.peoplesdailyng.com|NG|9d06d8b1-bc22-49aa-88fd-57f6ea853f9b
www.dailytrust.com.ng|NG|ad151578-56c2-4f0a-96cd-1231165e2160
www.standardmedia.co.ke|KE|ccbcd840-41e9-4513-a845-42d2639573c0
www.kenya-today.com|KE|e9cac31d-50a4-4cea-9c36-9b4c4bed7df7
www.theeastafrican.co.ke|KE|eb4b349c-f9b7-497c-bce5-2c5acbdb17c2
buzzkenya.com|KE|ae094a2a-dde9-4c2d-8b12-4a938a99ae0f
buzzkenya.com|KE|07b88f66-e5fb-4478-9070-039de0accd5b
