website,carousel,google-search,mobile-site,original-amp,country
citizen,10458,0,4614,35264,MU
citizen,0,10339,0,0,MU
citizen,0,7349,80081,47117,MU
citizen,6467,55413,7395,0,MU
citizen,9399,14275,43188,5175,MU
citizen,15903,9853,0,6219,MU
citizen,13027,,10392,9967,MU
citizen,22931,,,,MU
cnn,33271,0,153602,15492,MU
cnn,0,0,141038,24269,MU
cnn,21274,,0,0,MU
cnn,15827,,0,15513,MU
cnn,45404,,133207,8406,MU
cnn,28650,,107125,20022,MU
cnn,25119,,,14353,MU
cnn,22204,,,13390,MU
cnn,19624,,,,MU
dailypost,12838,0,40221,5194,MU
dailypost,6103,8446,4766,11919,MU
dailypost,4916,10809,30481,12240,MU
dailypost,17429,10186,48022,4224,MU
dailypost,10757,10589,31666,17153,MU
dailypost,13281,6256,30097,5124,MU
dailypost,11550,7231,29881,18887,MU
dailypost,5231,12219,47244,9976,MU
dailypost,4001,6982,12074,5284,MU
dailypost,8403,11289,48632,0,MU
dailypost,8068,9324,27798,10381,MU
dailypost,7615,,39494,2143,MU
dailypost,7370,,60583,6194,MU
dailypost,6361,,0,4577,MU
dailypost,2869,,0,8853,MU
dailypost,0,,,0,MU
dailypost,8653,,,,MU
