domain|cc|geoloc_cc|url|ori_amp_url|amp_viewer_url|amp_cdn_url
263chat.com|ZW|US|https://263chat.com/all-set-for-econet-victoria-falls-marathon/|https://263chat.com/amp/all-set-for-econet-victoria-falls-marathon|https://www.google.com/amp/s/263chat.com/amp/all-set-for-econet-victoria-falls-marathon|https://263chat-com.cdn.ampproject.org/c/s/263chat.com/amp/all-set-for-econet-victoria-falls-marathon
263chat.com|ZW|US|https://263chat.com/tribe-of-influencers-back-with-social-media-awards/|https://263chat.com/amp/tribe-of-influencers-back-with-social-media-awards|https://www.google.com/amp/s/263chat.com/amp/tribe-of-influencers-back-with-social-media-awards|https://263chat-com.cdn.ampproject.org/c/s/263chat.com/amp/tribe-of-influencers-back-with-social-media-awards
263chat.com|ZW|US|https://263chat.com/nkomo-father-of-peace-unity-remembered-in-style/|https://263chat.com/amp/nkomo-father-of-peace-unity-remembered-in-style|https://www.google.com/amp/s/263chat.com/amp/nkomo-father-of-peace-unity-remembered-in-style|https://263chat-com.cdn.ampproject.org/c/s/263chat.com/amp/nkomo-father-of-peace-unity-remembered-in-style
263chat.com|ZW|US|https://263chat.com/mnangagwa-will-soil-pm-mays-hands-with-blood/|https://263chat.com/amp/mnangagwa-will-soil-pm-mays-hands-with-blood|https://www.google.com/amp/s/263chat.com/amp/mnangagwa-will-soil-pm-mays-hands-with-blood|https://263chat-com.cdn.ampproject.org/c/s/263chat.com/amp/mnangagwa-will-soil-pm-mays-hands-with-blood
263chat.com|ZW|US|https://263chat.com/old-mutual-ready-to-tackle-new-zimbabwe-challenges/|https://263chat.com/amp/old-mutual-ready-to-tackle-new-zimbabwe-challenges|https://www.google.com/amp/s/263chat.com/amp/old-mutual-ready-to-tackle-new-zimbabwe-challenges|https://263chat-com.cdn.ampproject.org/c/s/263chat.com/amp/old-mutual-ready-to-tackle-new-zimbabwe-challenges
263chat.com|ZW|US|https://263chat.com/fastjet-shares-nosedive-as-cash-crisis-threatens-survival/|https://263chat.com/amp/fastjet-shares-nosedive-as-cash-crisis-threatens-survival|https://www.google.com/amp/s/263chat.com/amp/fastjet-shares-nosedive-as-cash-crisis-threatens-survival|https://263chat-com.cdn.ampproject.org/c/s/263chat.com/amp/fastjet-shares-nosedive-as-cash-crisis-threatens-survival
263chat.com|ZW|US|https://263chat.com/analog-tv-vs-digital-tv-broadcasting-techniques/|https://263chat.com/amp/analog-tv-vs-digital-tv-broadcasting-techniques|https://www.google.com/amp/s/263chat.com/amp/analog-tv-vs-digital-tv-broadcasting-techniques|https://263chat-com.cdn.ampproject.org/c/s/263chat.com/amp/analog-tv-vs-digital-tv-broadcasting-techniques
263chat.com|ZW|US|https://263chat.com/zimbabwe-risks-fails-to-meet-digitalization-deadline-by-3-years/|https://263chat.com/amp/zimbabwe-risks-fails-to-meet-digitalization-deadline-by-3-years|https://www.google.com/amp/s/263chat.com/amp/zimbabwe-risks-fails-to-meet-digitalization-deadline-by-3-years|https://263chat-com.cdn.ampproject.org/c/s/263chat.com/amp/zimbabwe-risks-fails-to-meet-digitalization-deadline-by-3-years
263chat.com|ZW|US|https://263chat.com/hit-in-historic-collaboration-with-oxford-university/|https://263chat.com/amp/hit-in-historic-collaboration-with-oxford-university|https://www.google.com/amp/s/263chat.com/amp/hit-in-historic-collaboration-with-oxford-university|https://263chat-com.cdn.ampproject.org/c/s/263chat.com/amp/hit-in-historic-collaboration-with-oxford-university
263chat.com|ZW|US|https://263chat.com/potraz-paves-way-for-rbz-to-cut-bank-charges/|https://263chat.com/amp/potraz-paves-way-for-rbz-to-cut-bank-charges|https://www.google.com/amp/s/263chat.com/amp/potraz-paves-way-for-rbz-to-cut-bank-charges|https://263chat-com.cdn.ampproject.org/c/s/263chat.com/amp/potraz-paves-way-for-rbz-to-cut-bank-charges
africanreporter.co.za|ZA|US|https://africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/|https://africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp|https://www.google.com/amp/s/africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp|https://africanreporter-co-za.cdn.ampproject.org/c/s/africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp
africanreporter.co.za|ZA|US|https://africanreporter.co.za/100394/healthy-friday-separating-facts-fiction-using-marijuana/|https://albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp|https://www.google.com/amp/s/albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp|https://africanreporter-co-za.cdn.ampproject.org/c/s/albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp
africanreporter.co.za|ZA|US|https://africanreporter.co.za/100388/planned-water-interruption-in-certain-springs-areas-7am-to-11pm/|https://springsadvertiser.co.za/192762/planned-water-interruption-in-certain-springs-areas-7am-to-11pm/amp|https://www.google.com/amp/s/springsadvertiser.co.za/192762/planned-water-interruption-in-certain-springs-areas-7am-to-11pm/amp|https://africanreporter-co-za.cdn.ampproject.org/c/s/springsadvertiser.co.za/192762/planned-water-interruption-in-certain-springs-areas-7am-to-11pm/amp
africanreporter.co.za|ZA|US|https://africanreporter.co.za/100027/bosso-ke-mang-tournament-gives-back-to-schools/|https://africanreporter.co.za/100027/bosso-ke-mang-tournament-gives-back-to-schools/amp|https://www.google.com/amp/s/africanreporter.co.za/100027/bosso-ke-mang-tournament-gives-back-to-schools/amp|https://africanreporter-co-za.cdn.ampproject.org/c/s/africanreporter.co.za/100027/bosso-ke-mang-tournament-gives-back-to-schools/amp
africanreporter.co.za|ZA|US|https://africanreporter.co.za/99804/local-football-players-jetting-off-to-italy/|https://africanreporter.co.za/99804/local-football-players-jetting-off-to-italy/amp|https://www.google.com/amp/s/africanreporter.co.za/99804/local-football-players-jetting-off-to-italy/amp|https://africanreporter-co-za.cdn.ampproject.org/c/s/africanreporter.co.za/99804/local-football-players-jetting-off-to-italy/amp
albertonrecord.co.za|ZA|US|https://albertonrecord.co.za/181378/mooi-blomme-kort-nie-altyd-kleur-nie/|https://albertonrecord.co.za/181378/mooi-blomme-kort-nie-altyd-kleur-nie/amp|https://www.google.com/amp/s/albertonrecord.co.za/181378/mooi-blomme-kort-nie-altyd-kleur-nie/amp|https://albertonrecord-co-za.cdn.ampproject.org/c/s/albertonrecord.co.za/181378/mooi-blomme-kort-nie-altyd-kleur-nie/amp
albertonrecord.co.za|ZA|US|https://albertonrecord.co.za/181450/connect-east-rand-south-classifieds-facebook-page/|https://africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp|https://www.google.com/amp/s/africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp|https://albertonrecord-co-za.cdn.ampproject.org/c/s/africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp
albertonrecord.co.za|ZA|US|https://albertonrecord.co.za/181246/smiths-gym-did-not-disappoint-at-bombs-away/|https://albertonrecord.co.za/181246/smiths-gym-did-not-disappoint-at-bombs-away/amp|https://www.google.com/amp/s/albertonrecord.co.za/181246/smiths-gym-did-not-disappoint-at-bombs-away/amp|https://albertonrecord-co-za.cdn.ampproject.org/c/s/albertonrecord.co.za/181246/smiths-gym-did-not-disappoint-at-bombs-away/amp
alexnews.co.za|ZA|US|https://alexnews.co.za/117370/take-note-licensing-centres-throughout-joburg-will-closed-tomorrow/|https://sandtonchronicle.co.za/205497/take-note-licensing-centres-throughout-joburg-will-closed-tomorrow/amp|https://www.google.com/amp/s/sandtonchronicle.co.za/205497/take-note-licensing-centres-throughout-joburg-will-closed-tomorrow/amp|https://alexnews-co-za.cdn.ampproject.org/c/s/sandtonchronicle.co.za/205497/take-note-licensing-centres-throughout-joburg-will-closed-tomorrow/amp
alexnews.co.za|ZA|US|https://alexnews.co.za/117377/petrolpricehike-call-complete-shutdown-across-south-africa-circulates-social-media-2/|https://sandtonchronicle.co.za/205253/petrolpricehike-call-complete-shutdown-across-south-africa-circulates-social-media/amp|https://www.google.com/amp/s/sandtonchronicle.co.za/205253/petrolpricehike-call-complete-shutdown-across-south-africa-circulates-social-media/amp|https://alexnews-co-za.cdn.ampproject.org/c/s/sandtonchronicle.co.za/205253/petrolpricehike-call-complete-shutdown-across-south-africa-circulates-social-media/amp
alexnews.co.za|ZA|US|https://alexnews.co.za/116475/police-officers-praised-for-the-conviction-of-robbers/|https://alexnews.co.za/116475/police-officers-praised-for-the-conviction-of-robbers/amp|https://www.google.com/amp/s/alexnews.co.za/116475/police-officers-praised-for-the-conviction-of-robbers/amp|https://alexnews-co-za.cdn.ampproject.org/c/s/alexnews.co.za/116475/police-officers-praised-for-the-conviction-of-robbers/amp
alexnews.co.za|ZA|US|https://alexnews.co.za/117359/joburg-customer-agent-charged-with-fraud-and-corruption/|https://northeasterntribune.co.za/218248/joburg-customer-agent-charged-with-fraud-and-corruption/amp|https://www.google.com/amp/s/northeasterntribune.co.za/218248/joburg-customer-agent-charged-with-fraud-and-corruption/amp|https://alexnews-co-za.cdn.ampproject.org/c/s/northeasterntribune.co.za/218248/joburg-customer-agent-charged-with-fraud-and-corruption/amp
alexnews.co.za|ZA|US|https://alexnews.co.za/117342/healthy-friday-separating-facts-fiction-using-marijuana/|https://albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp|https://www.google.com/amp/s/albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp|https://alexnews-co-za.cdn.ampproject.org/c/s/albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp
alexnews.co.za|ZA|US|https://alexnews.co.za/117287/germany-trip-beckons-for-talented-alex-soccer-star/|https://alexnews.co.za/117287/germany-trip-beckons-for-talented-alex-soccer-star/amp|https://www.google.com/amp/s/alexnews.co.za/117287/germany-trip-beckons-for-talented-alex-soccer-star/amp|https://alexnews-co-za.cdn.ampproject.org/c/s/alexnews.co.za/117287/germany-trip-beckons-for-talented-alex-soccer-star/amp
aminata.com|GQ|US|https://aminata.com/boostez-votre-activite-grace-aux-annonces-video-aminata/|https://aminata.com/boostez-votre-activite-grace-aux-annonces-video-aminata/amp/|https://www.google.com/amp/s/aminata.com/boostez-votre-activite-grace-aux-annonces-video-aminata/amp/|https://aminata-com.cdn.ampproject.org/c/s/aminata.com/boostez-votre-activite-grace-aux-annonces-video-aminata/amp/
aminata.com|GQ|US|https://aminata.com/mondial-2018-grace-a-mbappe-la-france-elimine-largentine/|https://aminata.com/mondial-2018-grace-a-mbappe-la-france-elimine-largentine/amp/|https://www.google.com/amp/s/aminata.com/mondial-2018-grace-a-mbappe-la-france-elimine-largentine/amp/|https://aminata-com.cdn.ampproject.org/c/s/aminata.com/mondial-2018-grace-a-mbappe-la-france-elimine-largentine/amp/
aminata.com|GQ|US|https://aminata.com/fode-oussou-fustige-la-visite-de-yoweri-museveni-a-conakry-il-nest-pas-un-bon-exemple/|https://aminata.com/fode-oussou-fustige-la-visite-de-yoweri-museveni-a-conakry-il-nest-pas-un-bon-exemple/amp/|https://www.google.com/amp/s/aminata.com/fode-oussou-fustige-la-visite-de-yoweri-museveni-a-conakry-il-nest-pas-un-bon-exemple/amp/|https://aminata-com.cdn.ampproject.org/c/s/aminata.com/fode-oussou-fustige-la-visite-de-yoweri-museveni-a-conakry-il-nest-pas-un-bon-exemple/amp/
aminata.com|GQ|US|https://aminata.com/guinee-le-pays-est-devenu-un-veritable-enfer-pour-ses-pauvres-habitants-dixit-baadiko-de-lufd/|https://aminata.com/guinee-le-pays-est-devenu-un-veritable-enfer-pour-ses-pauvres-habitants-dixit-baadiko-de-lufd/amp/|https://www.google.com/amp/s/aminata.com/guinee-le-pays-est-devenu-un-veritable-enfer-pour-ses-pauvres-habitants-dixit-baadiko-de-lufd/amp/|https://aminata-com.cdn.ampproject.org/c/s/aminata.com/guinee-le-pays-est-devenu-un-veritable-enfer-pour-ses-pauvres-habitants-dixit-baadiko-de-lufd/amp/
aminata.com|GQ|US|https://aminata.com/campagne-dassainissement-de-la-ville-de-conakry-la-premiere-journee-sera-lancee-ce-samedi-30-juin/|https://aminata.com/campagne-dassainissement-de-la-ville-de-conakry-la-premiere-journee-sera-lancee-ce-samedi-30-juin/amp/|https://www.google.com/amp/s/aminata.com/campagne-dassainissement-de-la-ville-de-conakry-la-premiere-journee-sera-lancee-ce-samedi-30-juin/amp/|https://aminata-com.cdn.ampproject.org/c/s/aminata.com/campagne-dassainissement-de-la-ville-de-conakry-la-premiere-journee-sera-lancee-ce-samedi-30-juin/amp/
aminata.com|GQ|US|https://aminata.com/kindia-tenue-dune-retraite-sur-les-reformes-du-processus-electorales/|https://aminata.com/kindia-tenue-dune-retraite-sur-les-reformes-du-processus-electorales/amp/|https://www.google.com/amp/s/aminata.com/kindia-tenue-dune-retraite-sur-les-reformes-du-processus-electorales/amp/|https://aminata-com.cdn.ampproject.org/c/s/aminata.com/kindia-tenue-dune-retraite-sur-les-reformes-du-processus-electorales/amp/
aminata.com|GQ|US|https://aminata.com/apres-la-visite-du-chef-de-letat-labe-beneficiera-comme-les-autre-regions-de-beaucoup-davantages/|https://aminata.com/apres-la-visite-du-chef-de-letat-labe-beneficiera-comme-les-autre-regions-de-beaucoup-davantages/amp/|https://www.google.com/amp/s/aminata.com/apres-la-visite-du-chef-de-letat-labe-beneficiera-comme-les-autre-regions-de-beaucoup-davantages/amp/|https://aminata-com.cdn.ampproject.org/c/s/aminata.com/apres-la-visite-du-chef-de-letat-labe-beneficiera-comme-les-autre-regions-de-beaucoup-davantages/amp/
aminata.com|GQ|US|https://aminata.com/la-hierarchie-militaire-paralyse-la-circulation-sur-la-route-du-camp/|https://aminata.com/la-hierarchie-militaire-paralyse-la-circulation-sur-la-route-du-camp/amp/|https://www.google.com/amp/s/aminata.com/la-hierarchie-militaire-paralyse-la-circulation-sur-la-route-du-camp/amp/|https://aminata-com.cdn.ampproject.org/c/s/aminata.com/la-hierarchie-militaire-paralyse-la-circulation-sur-la-route-du-camp/amp/
aminata.com|GQ|US|https://aminata.com/alpha-conde-a-labe-curieuse-promotion-de-lauteur-du-discours-daccueil/|https://aminata.com/alpha-conde-a-labe-curieuse-promotion-de-lauteur-du-discours-daccueil/amp/|https://www.google.com/amp/s/aminata.com/alpha-conde-a-labe-curieuse-promotion-de-lauteur-du-discours-daccueil/amp/|https://aminata-com.cdn.ampproject.org/c/s/aminata.com/alpha-conde-a-labe-curieuse-promotion-de-lauteur-du-discours-daccueil/amp/
aminata.com|GQ|US|https://aminata.com/francis-haba-du-lugdd-tous-les-acteurs-politiques-ont-ete-unanimes-que-le-nouveau-gouvernement-quil-y-a-eu-de-lamateurisme-interview/|https://aminata.com/francis-haba-du-lugdd-tous-les-acteurs-politiques-ont-ete-unanimes-que-le-nouveau-gouvernement-quil-y-a-eu-de-lamateurisme-interview/amp/|https://www.google.com/amp/s/aminata.com/francis-haba-du-lugdd-tous-les-acteurs-politiques-ont-ete-unanimes-que-le-nouveau-gouvernement-quil-y-a-eu-de-lamateurisme-interview/amp/|https://aminata-com.cdn.ampproject.org/c/s/aminata.com/francis-haba-du-lugdd-tous-les-acteurs-politiques-ont-ete-unanimes-que-le-nouveau-gouvernement-quil-y-a-eu-de-lamateurisme-interview/amp/
bedfordviewedenvalenews.co.za|ZA|US|https://bedfordviewedenvalenews.co.za/336389/born-to-perform-is-back-to-shine/|https://bedfordviewedenvalenews.co.za/336389/born-to-perform-is-back-to-shine/amp|https://www.google.com/amp/s/bedfordviewedenvalenews.co.za/336389/born-to-perform-is-back-to-shine/amp|https://bedfordviewedenvalenews-co-za.cdn.ampproject.org/c/s/bedfordviewedenvalenews.co.za/336389/born-to-perform-is-back-to-shine/amp
bedfordviewedenvalenews.co.za|ZA|US|https://bedfordviewedenvalenews.co.za/336400/jeppe-girls-contribute-to-world-record-attempt/|https://bedfordviewedenvalenews.co.za/336400/jeppe-girls-contribute-to-world-record-attempt/amp|https://www.google.com/amp/s/bedfordviewedenvalenews.co.za/336400/jeppe-girls-contribute-to-world-record-attempt/amp|https://bedfordviewedenvalenews-co-za.cdn.ampproject.org/c/s/bedfordviewedenvalenews.co.za/336400/jeppe-girls-contribute-to-world-record-attempt/amp
bedfordviewedenvalenews.co.za|ZA|US|https://bedfordviewedenvalenews.co.za/336996/connect-east-rand-south-classifieds-facebook-page/|https://africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp|https://www.google.com/amp/s/africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp|https://bedfordviewedenvalenews-co-za.cdn.ampproject.org/c/s/africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp
bedfordviewedenvalenews.co.za|ZA|US|https://bedfordviewedenvalenews.co.za/336977/healthy-friday-separating-facts-fiction-using-marijuana/|https://albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp|https://www.google.com/amp/s/albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp|https://bedfordviewedenvalenews-co-za.cdn.ampproject.org/c/s/albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp
bedfordviewedenvalenews.co.za|ZA|US|https://bedfordviewedenvalenews.co.za/336960/hlatshwayo-wins-bronze-at-comrades-earns-his-green-number/|https://joburgeastexpress.co.za/90251/hlatshwayo-wins-bronze-at-comrades-earns-his-green-number/amp|https://www.google.com/amp/s/joburgeastexpress.co.za/90251/hlatshwayo-wins-bronze-at-comrades-earns-his-green-number/amp|https://bedfordviewedenvalenews-co-za.cdn.ampproject.org/c/s/joburgeastexpress.co.za/90251/hlatshwayo-wins-bronze-at-comrades-earns-his-green-number/amp
benonicitytimes.co.za|ZA|US|https://benonicitytimes.co.za/323111/benoni-plaza-turned-dump-pose-health-hazard/|https://benonicitytimes.co.za/323111/benoni-plaza-turned-dump-pose-health-hazard/amp|https://www.google.com/amp/s/benonicitytimes.co.za/323111/benoni-plaza-turned-dump-pose-health-hazard/amp|https://benonicitytimes-co-za.cdn.ampproject.org/c/s/benonicitytimes.co.za/323111/benoni-plaza-turned-dump-pose-health-hazard/amp
benonicitytimes.co.za|ZA|US|https://benonicitytimes.co.za/323353/remember-tariffs-go-up-in-ekurhuleni-on-july-1/|https://benonicitytimes.co.za/323353/remember-tariffs-go-up-in-ekurhuleni-on-july-1/amp|https://www.google.com/amp/s/benonicitytimes.co.za/323353/remember-tariffs-go-up-in-ekurhuleni-on-july-1/amp|https://benonicitytimes-co-za.cdn.ampproject.org/c/s/benonicitytimes.co.za/323353/remember-tariffs-go-up-in-ekurhuleni-on-july-1/amp
benonicitytimes.co.za|ZA|US|https://benonicitytimes.co.za/323389/connect-east-rand-south-classifieds-facebook-page/|https://africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp|https://www.google.com/amp/s/africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp|https://benonicitytimes-co-za.cdn.ampproject.org/c/s/africanreporter.co.za/100398/connect-east-rand-south-classifieds-facebook-page/amp
benonicitytimes.co.za|ZA|US|https://benonicitytimes.co.za/323363/healthy-friday-separating-facts-fiction-using-marijuana/|https://albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp|https://www.google.com/amp/s/albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp|https://benonicitytimes-co-za.cdn.ampproject.org/c/s/albertonrecord.co.za/181272/healthy-friday-separating-facts-fiction-using-marijuana/amp
bereamail.co.za|ZA|US|https://bereamail.co.za/135406/seven-dolphins-rewarded-with-protea-call-ups/|https://bereamail.co.za/135406/seven-dolphins-rewarded-with-protea-call-ups/amp|https://www.google.com/amp/s/bereamail.co.za/135406/seven-dolphins-rewarded-with-protea-call-ups/amp|https://bereamail-co-za.cdn.ampproject.org/c/s/bereamail.co.za/135406/seven-dolphins-rewarded-with-protea-call-ups/amp
