domain|cc|geoloc_cc|url|ori_amp_url|amp_viewer_url|amp_cdn_url
www.voazimbabwe.com|ZW|NL|http://www.voazimbabwe.com//a/trump-officials-we-know-where-all-the-children-are/4452468.html|https://www.voazimbabwe.com/amp/4452468.html|https://www.google.com/amp/s/www.voazimbabwe.com/amp/4452468.html|https://www-voazimbabwe-com.cdn.ampproject.org/c/s/www.voazimbabwe.com/amp/4452468.html
www.southerneye.co.zw|ZW|BG|https://www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/|https://www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/amp/|https://www.google.com/amp/s/www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/amp/|https://www-southerneye-co-zw.cdn.ampproject.org/c/s/www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/amp/
www.voandebele.com|ZW|NL|http://www.voandebele.com//a/imizamo-kamnangagwa-eyokuhuga-abalimi-abaxotshwa-ngumugabe-iphelela-eboyeni-njengezithukuthuku-zenja/4461619.html|https://www.voandebele.com/amp/4461619.html|https://www.google.com/amp/s/www.voandebele.com/amp/4461619.html|https://www-voandebele-com.cdn.ampproject.org/c/s/www.voandebele.com/amp/4461619.html
www.bizday.co.zw|ZW||http://www.bizday.co.zw//mandiwanzira-says-netone-telecel-also-requested-for-data-tariff-hike/|https://www.bizday.co.zw/mandiwanzira-says-netone-telecel-also-requested-for-data-tariff-hike/amp/|https://www.google.com/amp/s/www.bizday.co.zw/mandiwanzira-says-netone-telecel-also-requested-for-data-tariff-hike/amp/|https://www-bizday-co-zw.cdn.ampproject.org/c/s/www.bizday.co.zw/mandiwanzira-says-netone-telecel-also-requested-for-data-tariff-hike/amp/
www.zimbabwenews.net|ZW|US|http://www.dailymail.co.uk/wires/afp/article-5904317/Kenya-stun-Zimbabwe-gasp-45-36-win.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490|http://www.dailymail.co.uk/wires/afp/article-5904317/amp/Kenya-stun-Zimbabwe-gasp-45-36-win.html|https://www.google.com/amp/s/www.dailymail.co.uk/wires/afp/article-5904317/amp/Kenya-stun-Zimbabwe-gasp-45-36-win.html|https://www-zimbabwenews-net.cdn.ampproject.org/c/s/www.dailymail.co.uk/wires/afp/article-5904317/amp/Kenya-stun-Zimbabwe-gasp-45-36-win.html
www.techzim.co.zw|ZW|GB|https://www.techzim.co.zw/2018/06/heres-a-list-of-the-updates-telone-area-codes/#comments|https://www.techzim.co.zw/2018/06/heres-a-list-of-the-updates-telone-area-codes/amp/|https://www.google.com/amp/s/www.techzim.co.zw/2018/06/heres-a-list-of-the-updates-telone-area-codes/amp/|https://www-techzim-co-zw.cdn.ampproject.org/c/s/www.techzim.co.zw/2018/06/heres-a-list-of-the-updates-telone-area-codes/amp/
www.southerneye.co.zw|ZW|BG|https://www.southerneye.co.zw/2016/02/25/pay-attention-to-clear-red-flags-during-dating/|https://www.southerneye.co.zw/2016/02/25/pay-attention-to-clear-red-flags-during-dating/amp/|https://www.google.com/amp/s/www.southerneye.co.zw/2016/02/25/pay-attention-to-clear-red-flags-during-dating/amp/|https://www-southerneye-co-zw.cdn.ampproject.org/c/s/www.southerneye.co.zw/2016/02/25/pay-attention-to-clear-red-flags-during-dating/amp/
www.southerneye.co.zw|ZW|BG|https://www.southerneye.co.zw/2017/07/25/opposition-raises-red-flag-zanu-pf-rigging-threats/|https://www.southerneye.co.zw/2017/07/25/opposition-raises-red-flag-zanu-pf-rigging-threats/amp/|https://www.google.com/amp/s/www.southerneye.co.zw/2017/07/25/opposition-raises-red-flag-zanu-pf-rigging-threats/amp/|https://www-southerneye-co-zw.cdn.ampproject.org/c/s/www.southerneye.co.zw/2017/07/25/opposition-raises-red-flag-zanu-pf-rigging-threats/amp/
www.herald.co.zw|ZW|US|https://www.herald.co.zw/under-the-eaves-with-igomombe-opposition-trapped-in-own-argument-actions/|https://www.herald.co.zw/under-the-eaves-with-igomombe-opposition-trapped-in-own-argument-actions/amp/|https://www.google.com/amp/s/www.herald.co.zw/under-the-eaves-with-igomombe-opposition-trapped-in-own-argument-actions/amp/|https://www-herald-co-zw.cdn.ampproject.org/c/s/www.herald.co.zw/under-the-eaves-with-igomombe-opposition-trapped-in-own-argument-actions/amp/
www.southerneye.co.zw|ZW|BG|https://www.southerneye.co.zw/2016/01/28/your-heart-is-where-your-treasure-is/|https://www.southerneye.co.zw/2016/01/28/your-heart-is-where-your-treasure-is/amp/|https://www.google.com/amp/s/www.southerneye.co.zw/2016/01/28/your-heart-is-where-your-treasure-is/amp/|https://www-southerneye-co-zw.cdn.ampproject.org/c/s/www.southerneye.co.zw/2016/01/28/your-heart-is-where-your-treasure-is/amp/
