domain|cc|ProbeInfo|TestDateTime|StatusCode|StatusText|DNSLookupTime|Destination|HTTPStatus|InitialConnection|NumberOfRequests|PageLoadTime|SSLNegotiationTime|TTFB|TotalDownloadedBytes
www.voazimbabwe.com|ZW|{'ASN': 56696, 'ConnectionType': 'Wireless80211', 'CountryCode': 'ZW', 'DNSResolver': '217.15.120.4', 'GeolocationAccuracy': 50000, 'IPAddress': '77.246.49.17', 'Latitude': -20, 'Longitude': 30, 'Network': 'EWZ', 'NetworkID': 66662, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'}|2018-07-05|200|OK|0|https://www.voazimbabwe.com/amp/4452468.html|200|117|30|18638|62|3884|419927
www.voazimbabwe.com|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'AfOL-Zw-NET8_B', 'NetworkID': 65920, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-05|200|OK|0|https://www.voazimbabwe.com/amp/4452468.html|200|0|28|21459|0|8032|421144
www.southerneye.co.zw|ZW|{'ASN': 56696, 'ConnectionType': 'Wireless80211', 'CountryCode': 'ZW', 'DNSResolver': '217.15.120.4', 'GeolocationAccuracy': 50000, 'IPAddress': '77.246.49.17', 'Latitude': -20, 'Longitude': 30, 'Network': 'EWZ', 'NetworkID': 66662, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'}|2018-07-05|200|OK|3753|https://www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/amp/|200|638|9|12481|369|7269|74148
www.southerneye.co.zw|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'AfOL-Zw-NET8_B', 'NetworkID': 65920, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-05|200|OK|37|https://www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/amp/|200|4450|9|14242|4216|6360|74239
www.voandebele.com|ZW|{'ASN': 56696, 'ConnectionType': 'Wireless80211', 'CountryCode': 'ZW', 'DNSResolver': '217.15.120.4', 'GeolocationAccuracy': 50000, 'IPAddress': '77.246.49.17', 'Latitude': -20, 'Longitude': 30, 'Network': 'EWZ', 'NetworkID': 66662, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'}|2018-07-05|200|OK|0|https://www.voandebele.com/amp/4461619.html|200|64|17|9716|64|4652|995271
www.voandebele.com|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'AfOL-Zw-NET8_B', 'NetworkID': 65920, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-05|200|OK|0|https://www.voandebele.com/amp/4461619.html|200|0|17|8233|0|2466|996878
www.bizday.co.zw|ZW|{'ASN': 56696, 'ConnectionType': 'Wireless80211', 'CountryCode': 'ZW', 'DNSResolver': '217.15.120.4', 'GeolocationAccuracy': 50000, 'IPAddress': '77.246.49.17', 'Latitude': -20, 'Longitude': 30, 'Network': 'EWZ', 'NetworkID': 66662, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'}|2018-07-05|200|OK|3903|https://www.bizday.co.zw/mandiwanzira-says-netone-telecel-also-requested-for-data-tariff-hike/amp/|200|254|7|8659|158|7311|68644
www.bizday.co.zw|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'AfOL-Zw-NET8_B', 'NetworkID': 65920, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-05|200|OK|255|https://www.bizday.co.zw/mandiwanzira-says-netone-telecel-also-requested-for-data-tariff-hike/amp/|200|237|7|5604|171|1622|68724
www.zimbabwenews.net|ZW|{'ASN': 56696, 'ConnectionType': 'Wireless80211', 'CountryCode': 'ZW', 'DNSResolver': '217.15.120.4', 'GeolocationAccuracy': 50000, 'IPAddress': '77.246.49.17', 'Latitude': -20, 'Longitude': 30, 'Network': 'EWZ', 'NetworkID': 66662, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'}|2018-07-05|200|OK|90|http://www.dailymail.co.uk/wires/afp/article-5904317/amp/Kenya-stun-Zimbabwe-gasp-45-36-win.html|200|42|43|24282|0|3350|467176
www.zimbabwenews.net|ZW|{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.29.32.254', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'AfOL-Zw-NET8_B', 'NetworkID': 65920, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'}|2018-07-05|200|OK|236|http://www.dailymail.co.uk/wires/afp/article-5904317/amp/Kenya-stun-Zimbabwe-gasp-45-36-win.html|200|49|43|24920|0|1065|488449
