domain|cc|testID
www.voazimbabwe.com|ZW|8f26c5ac-e7e5-4bd3-b8b8-5e80c6f60018
www.southerneye.co.zw|ZW|43b1f858-4adb-499d-810a-a55e5c8f41aa
www.voandebele.com|ZW|6875bb2d-0d5d-4002-823d-8bc2194a5ee6
www.bizday.co.zw|ZW|51c92d1a-5589-4c55-9fb7-128ade5ac8f0
www.zimbabwenews.net|ZW|aec9aaba-a6eb-4ce1-8da7-e313ccad1a36
www.techzim.co.zw|ZW|e710db39-d0bf-409c-956f-109f375c2d40
www.southerneye.co.zw|ZW|eaf3ffb1-2bdc-42c6-97e7-8e91a793a321
www.southerneye.co.zw|ZW|66f38600-c2d3-4726-bd38-e68288ab6a87
www.herald.co.zw|ZW|f844f73f-3dc8-487f-a1b9-c615a1ad2668
www.southerneye.co.zw|ZW|ecc61123-66dc-4a8f-96b4-849021c18871
www.zimbabwesituation.com|ZW|2a6bcdeb-4624-4952-ab1e-47b2c0e17775
www.bizday.co.zw|ZW|56b32504-2cca-40c7-84dc-2bb5531dedb7
www.technomag.co.zw|ZW|b7679e99-ffc8-48b7-b6a0-c1c80590f6b2
www.herald.co.zw|ZW|9cd4360b-97af-4327-8f64-2e1c873a8b6a
www.herald.co.zw|ZW|84ad497f-495b-4d04-8d2e-5afeee0bc550
randburgsun.co.za|ZA|d01bf2ae-1624-4f24-95fd-3d7acf36b800
germistoncitynews.co.za|ZA|85f42591-49bb-44a1-9a6c-4e0d396ea35c
www.heraldlive.co.za|ZA|dd247910-cb06-4b2d-804d-ca465c908c6a
highwaymail.co.za|ZA|b93e6d46-8404-4b9f-96b1-251518886802
randburgsun.co.za|ZA|4fab018f-5dfc-4cb2-95c8-2dd6e89ea217
lowvelder.co.za|ZA|4c209df9-94f8-43f3-be76-6c4500f77913
ladysmithgazette.co.za|ZA|f7c5a438-d228-4aff-a827-a21e65c1e0d9
www.dailymaverick.co.za|ZA|21eb0383-f2bf-4504-b5b5-593033a93911
northcliffmelvilletimes.co.za|ZA|ca4c5a39-214f-4dbf-b624-1e05b499f2d4
kemptonexpress.co.za|ZA|1dc67d95-30a9-4533-831f-380cd026c112
www.kwevoel.co.za|ZA|2829d4bd-73af-487c-82ea-5dfa518357da
kemptonexpress.co.za|ZA|e2856eba-bc92-4dfd-a926-18664e2af39a
northeasterntribune.co.za|ZA|bb752f4b-09d2-4207-83f8-8a9e6a62d817
southcoastsun.co.za|ZA|194a499f-4a77-4438-878b-e9b01e24813b
risingsunchatsworth.co.za|ZA|98ee8028-aea4-4cdc-9b1f-b98852f3a541
guineenews.org|GQ|14d4405d-b700-46ab-a180-012798c8917d
guineenews.org|GQ|c3cef246-3b9f-42da-ae25-623bd565d456
aminata.com|GQ|108f6ec3-8abb-48fd-802b-f71ee225f9ef
guineenews.org|GQ|187dd80f-3c2e-448a-824a-35ee28827580
guineenews.org|GQ|17aad811-2350-4cfe-b10c-084b3567bf40
www.guinee7.com|GQ|d82c3fc4-0cc7-47ee-a6dc-204b738b3aa8
aminata.com|GQ|ba25d9a9-8503-465e-9728-96147844f4bd
aminata.com|GQ|4f11c6c6-5883-4776-b543-581e80ec42f5
guineenews.org|GQ|ae1bc7df-096f-4852-81f5-c95da539b320
aminata.com|GQ|7c1216a7-9bca-486d-a421-569d3b6fde48
aminata.com|GQ|a7916cf4-9c12-40c8-a4f3-6757f4d8674e
www.guinee7.com|GQ|55e2a1d7-a8b7-4cd7-9658-739067858f81
guineenews.org|GQ|eeec8fc3-7df1-433f-b9d5-464ec851bdea
guineenews.org|GQ|88541f19-cfa6-4dc9-aeb5-0abea33759fd
aminata.com|GQ|7118938b-8797-4cb3-be5b-0894dfb4b9cb
www.ondoevents.com|NG|6227ede3-236d-4f51-bb3c-6329ea0fd284
www.nan.ng|NG|243e7548-118b-4244-9932-8a9afca64118
flashpointnews.wordpress.com|NG|88fbd990-705b-4faa-8d1f-95232d59666c
worldstagegroup.com|NG|b541e86b-01c2-448f-b729-868440e6700b
dailystar.com.ng|NG|744ad54d-af37-4193-9ce9-4b31b6452abd
worldstagegroup.com|NG|2c55a857-d15b-4928-a871-6e0b4277a2d1
dailypost.ng|NG|8d6f804e-33a1-4e35-8eb6-061e5f1a1937
thenationonlineng.net|NG|bf771f69-89ab-4d12-8c6d-4fd5f6cb4b59
worldstagegroup.com|NG|ed46d88f-433a-45b5-b332-22cec4c79933
www.peoplesdailyng.com|NG|b28dd44c-fb79-4aef-bbca-cbd1b68535cb
thenationonlineng.net|NG|ac80d433-3940-46d7-833b-945daed7d75e
www.latestnigeriannews.com|NG|bccc0d51-c94e-4314-8f94-9124fad26c89
www.thebreakingtimes.com|NG|f91bedd2-68db-40c0-8128-44239dc46d63
www.peoplesdailyng.com|NG|870b81ca-a56d-4e7a-9c09-f3e047856028
www.dailytrust.com.ng|NG|138a198f-8f6e-4b08-88d5-0b47b5f58f54
www.standardmedia.co.ke|KE|c9bfc262-9d17-4648-8dcc-715e24492a70
www.kenya-today.com|KE|9a8a4789-389f-4c05-bdf3-c5a762d15979
www.theeastafrican.co.ke|KE|90e7c9d3-4a71-4113-a4d6-f9de99a68e9a
buzzkenya.com|KE|2187c657-b618-4edc-b6a7-9cee6bb805fc
buzzkenya.com|KE|4c899770-55b0-4873-b8e2-7ada4c685c46
www.kbc.co.ke|KE|cfdf3731-58dd-4a11-855d-52adda317042
www.theeastafrican.co.ke|KE|1ae2e753-a130-4a55-9797-8346b20be5ca
www.businessdailyafrica.com|KE|f122a48f-3299-48e0-acba-d3af7103207a
www.theeastafrican.co.ke|KE|977fa960-2736-4f42-a056-65afc4bb20da
www.kbc.co.ke|KE|d236c6fb-12d2-4d41-9bdd-863a247ca329
www.nation.co.ke|KE|00a352d5-3906-488b-a2b8-23484a3e9b2b
www.standardmedia.co.ke|KE|040185e1-80ba-4065-a11e-abb532fc3307
www.citizentv.co.ke|KE|FAILED
buzzkenya.com|KE|a3661004-944c-4870-a8a8-14cbc89e3cfc
www.capitalfm.co.ke|KE|795f4032-2eea-45b8-bf53-76ceaf9144d3
diplomat.so|SO|f54b7328-636f-42e1-b0a3-e266ab687c01
diplomat.so|SO|025f5f58-6880-48ec-9d12-d1d7c33e0fbf
diplomat.so|SO|41b91803-5bb6-43fb-a74c-21e3c78378f8
diplomat.so|SO|690c1214-aadb-4221-a696-c0aa0350eba0
diplomat.so|SO|6ac63cde-09fc-428b-8d68-acdafb29b307
diplomat.so|SO|09595ad3-f289-43a9-8389-18a38969d5a9
diplomat.so|SO|481886e1-93ec-4569-ace9-196267a4ba9c
