domain;cc;ProbeInfo;TestDateTime;StatusCode;StatusText;DNSLookupTime;Destination;HTTPStatus;InitialConnection;NumberOfRequests;PageLoadTime;SSLNegotiationTime;TTFB;TotalDownloadedBytes
www.voazimbabwe.com;ZW;{'ASN': 37123, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '41.191.232.2', 'GeolocationAccuracy': 1000, 'IPAddress': '154.119.82.221', 'Latitude': -17.819054, 'Longitude': 31.039442, 'Network': 'Hre-Broadband2', 'NetworkID': 64233, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'};2018-07-09;200;OK;0;http://www.voazimbabwe.com//a/trump-officials-we-know-where-all-the-children-are/4452468.html;200;241;98;10265;219;3832;1417912
www.southerneye.co.zw;ZW;{'ASN': 37123, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '41.191.232.2', 'GeolocationAccuracy': 1000, 'IPAddress': '154.119.82.221', 'Latitude': -17.819054, 'Longitude': 31.039442, 'Network': 'Hre-Broadband2', 'NetworkID': 64233, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'};2018-07-09;200;OK;37;https://www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/;200;527;127;10922;331;2808;1240585
www.voandebele.com;ZW;{'ASN': 37123, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '41.191.232.2', 'GeolocationAccuracy': 1000, 'IPAddress': '154.119.82.221', 'Latitude': -17.819054, 'Longitude': 31.039442, 'Network': 'Hre-Broadband2', 'NetworkID': 64233, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'};2018-07-09;200;OK;0;http://www.voandebele.com//a/imizamo-kamnangagwa-eyokuhuga-abalimi-abaxotshwa-ngumugabe-iphelela-eboyeni-njengezithukuthuku-zenja/4461619.html;200;115;77;8137;92;3478;1947108
www.voandebele.com;ZW;{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.43.105.0', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'AfOL-Zw-NET8_B', 'NetworkID': 65920, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'};2018-07-09;200;OK;1;http://www.voandebele.com//a/imizamo-kamnangagwa-eyokuhuga-abalimi-abaxotshwa-ngumugabe-iphelela-eboyeni-njengezithukuthuku-zenja/4461619.html;200;143;79;31256;89;1552;1945039
www.bizday.co.zw;ZW;{'ASN': 37123, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '41.191.232.2', 'GeolocationAccuracy': 1000, 'IPAddress': '154.119.82.221', 'Latitude': -17.819054, 'Longitude': 31.039442, 'Network': 'Hre-Broadband2', 'NetworkID': 64233, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'};2018-07-09;200;OK;0;http://www.bizday.co.zw//mandiwanzira-says-netone-telecel-also-requested-for-data-tariff-hike/;200;166;19;5328;138;2915;222774
www.techzim.co.zw;ZW;{'ASN': 37123, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '41.191.232.2', 'GeolocationAccuracy': 1000, 'IPAddress': '154.119.82.221', 'Latitude': -17.819054, 'Longitude': 31.039442, 'Network': 'Hre-Broadband2', 'NetworkID': 64233, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'};2018-07-09;200;OK;27;https://www.techzim.co.zw/2018/06/heres-a-list-of-the-updates-telone-area-codes/#comments;200;710;93;17163;515;3747;1208963
www.techzim.co.zw;ZW;{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.43.105.0', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'AfOL-Zw-NET8_B', 'NetworkID': 65920, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'};2018-07-09;200;OK;2;https://www.techzim.co.zw/2018/06/heres-a-list-of-the-updates-telone-area-codes/#comments;200;687;80;20511;480;1292;1011969
www.southerneye.co.zw;ZW;{'ASN': 37123, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '41.191.232.2', 'GeolocationAccuracy': 1000, 'IPAddress': '154.119.82.221', 'Latitude': -17.819054, 'Longitude': 31.039442, 'Network': 'Hre-Broadband2', 'NetworkID': 64233, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'};2018-07-09;200;OK;13;https://www.southerneye.co.zw/2016/02/25/pay-attention-to-clear-red-flags-during-dating/;200;556;126;10922;346;3023;1240096
www.southerneye.co.zw;ZW;{'ASN': 37183, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '196.43.105.0', 'GeolocationAccuracy': 25000, 'IPAddress': '196.43.105.34', 'Latitude': -17.8178, 'Longitude': 31.0447, 'Network': 'AfOL-Zw-NET8_B', 'NetworkID': 65920, 'Platform': 'PC', 'ProbeID': 'ee9579c4-65b0-4022-a765-a5105b208137', 'Version': '1.0.44.0'};2018-07-09;200;OK;0;https://www.southerneye.co.zw/2016/02/25/pay-attention-to-clear-red-flags-during-dating/;200;1421;125;20073;1197;3205;1235109
www.southerneye.co.zw;ZW;{'ASN': 37123, 'ConnectionType': 'Ethernet', 'CountryCode': 'ZW', 'DNSResolver': '41.191.232.2', 'GeolocationAccuracy': 1000, 'IPAddress': '154.119.82.221', 'Latitude': -17.819054, 'Longitude': 31.039442, 'Network': 'Hre-Broadband2', 'NetworkID': 64233, 'Platform': 'PC', 'ProbeID': 'f0dc6566-e548-42a3-b22c-699edb86e013', 'Version': '1.0.44.0'};2018-07-09;200;OK;13;https://www.southerneye.co.zw/2017/07/25/opposition-raises-red-flag-zanu-pf-rigging-threats/;200;546;126;10564;325;2856;1239540
