domain;cc;ProbeInfo;TestDateTime;StatusCode;StatusText;DNSLookupTime;Destination;HTTPStatus;InitialConnection;NumberOfRequests;PageLoadTime;SSLNegotiationTime;TTFB;TotalDownloadedBytes
www.voazimbabwe.com;ZW;{'ASN': 13370, 'CityName': 'Ephrata', 'ConnectionType': 'WIFI', 'CountryCode': 'US', 'DNSResolver': '63.135.59.0', 'GeolocationAccuracy': 10000, 'IPAddress': '63.135.59.83', 'Latitude': 47.27, 'Longitude': -119.59, 'Network': 'NET63', 'NetworkID': 68486, 'Platform': 'ANDROID', 'ProbeID': 'dd90853b-29e0-478f-b24c-273fa67f7230', 'Version': '3.8.0.0'};2018-07-16;200;OK;0;http://www.voazimbabwe.com//a/trump-officials-we-know-where-all-the-children-are/4452468.html;200;45;0;3667;36;893;1403855
www.voazimbabwe.com;ZW;{'ASN': 6830, 'CityName': 'Amsterdam', 'ConnectionType': 'WIFI', 'CountryCode': 'NL', 'DNSResolver': '212.142.48.76', 'GeolocationAccuracy': 10000, 'IPAddress': '77.250.123.203', 'Latitude': 52.38, 'Longitude': 4.9, 'Network': 'NL-CHELLO-20070126', 'NetworkID': 59033, 'Platform': 'ANDROID', 'ProbeID': 'd3249da2-3bfe-4c28-9d0e-eeeba42d9ccd', 'Version': '3.4.1.0'};2018-07-16;200;OK;0;http://www.voazimbabwe.com//a/trump-officials-we-know-where-all-the-children-are/4452468.html;200;209;0;8503;194;1190;1403855
www.voazimbabwe.com;ZW;{'ASN': 6830, 'CityName': 'Almere Stad', 'ConnectionType': 'WIFI', 'CountryCode': 'NL', 'DNSResolver': '212.142.48.74', 'GeolocationAccuracy': 10000, 'IPAddress': '80.57.124.171', 'Latitude': 52.39, 'Longitude': 5.24, 'Network': 'UPC-NL', 'NetworkID': 57456, 'Platform': 'ANDROID', 'ProbeID': '66ad2441-a63d-4ee8-ac1b-d70f35a8dc7d', 'Version': '3.8.0.0'};2018-07-16;408;Test timeout;0;http://www.voazimbabwe.com//a/trump-officials-we-know-where-all-the-children-are/4452468.html;200;0;0;0;0;0;1403855
www.voazimbabwe.com;ZW;{'ASN': 5607, 'CityName': 'Swindon', 'ConnectionType': 'WIFI', 'CountryCode': 'GB', 'DNSResolver': '90.207.224.7', 'GeolocationAccuracy': 10000, 'IPAddress': '94.8.159.214', 'Latitude': 51.52, 'Longitude': -1.78, 'Network': 'BSKYB-BROADBAND', 'NetworkID': 57207, 'Platform': 'ANDROID', 'ProbeID': 'ecd40163-0d53-4ecd-83f5-10dcf6193b4b', 'Version': '3.8.0.0'};2018-07-16;200;OK;0;http://www.voazimbabwe.com//a/trump-officials-we-know-where-all-the-children-are/4452468.html;200;155;0;7709;140;726;1403855
www.voazimbabwe.com;ZW;{'ASN': 6871, 'CityName': 'Aylesbury', 'ConnectionType': 'WIFI', 'CountryCode': 'GB', 'DNSResolver': '', 'GeolocationAccuracy': 1000, 'IPAddress': '150.143.26.97', 'Latitude': 0.5, 'Longitude': 0.5, 'Network': 'APNIC-ERX-150', 'NetworkID': 68308, 'Platform': 'ANDROID', 'ProbeID': '1703e20b-5298-45e8-abb3-80dd5196dd9c', 'Version': '3.8.0.0'};2018-07-16;408;Test timeout;0;http://www.voazimbabwe.com//a/trump-officials-we-know-where-all-the-children-are/4452468.html;200;0;0;0;0;0;1403855
www.voazimbabwe.com;ZW;{'ASN': 5410, 'CityName': 'Lyon', 'ConnectionType': 'Ethernet', 'CountryCode': 'FR', 'DNSResolver': '62.201.128.150', 'GeolocationAccuracy': 1000, 'IPAddress': '5.51.131.118', 'Latitude': 45.74, 'Longitude': 4.87, 'Network': 'BOUYGTEL-ISP-WIRELINE', 'NetworkID': 57248, 'Platform': 'PC', 'ProbeID': '2887c8a7-e3e5-42e6-b599-504476f05ab6', 'Version': '1.0.44.0'};2018-07-16;200;OK;0;http://www.voazimbabwe.com//a/trump-officials-we-know-where-all-the-children-are/4452468.html;200;68;89;4637;57;1725;1340797
www.voazimbabwe.com;ZW;{'ASN': 21502, 'CityName': 'Metz', 'ConnectionType': 'Wireless80211,Tunnel', 'CountryCode': 'FR', 'DNSResolver': '', 'GeolocationAccuracy': 10000, 'IPAddress': '89.159.130.165', 'Latitude': 49.09, 'Longitude': 6.15, 'Network': 'FR-SFR-20050726', 'NetworkID': 57221, 'Platform': 'PC', 'ProbeID': 'e884b97c-c49d-4bd1-9f24-b806f9c933c0', 'Version': '1.0.44.0'};2018-07-16;200;OK;0;http://www.voazimbabwe.com//a/trump-officials-we-know-where-all-the-children-are/4452468.html;200;221;92;10656;200;2230;1383547
www.voazimbabwe.com;ZW;{'ASN': 3209, 'CityName': 'Berlin', 'ConnectionType': 'Ethernet', 'CountryCode': 'DE', 'DNSResolver': '195.50.140.132', 'GeolocationAccuracy': 27000, 'IPAddress': '92.208.248.28', 'Latitude': 52.52, 'Longitude': 13.4, 'Network': 'Vodafone DSL', 'NetworkID': 61, 'Platform': 'PC', 'ProbeID': '6e522f3b-567d-40d8-ad27-7ec17b77955b', 'Version': '1.0.44.0'};2018-07-16;200;OK;0;http://www.voazimbabwe.com//a/trump-officials-we-know-where-all-the-children-are/4452468.html;200;121;89;3910;90;956;1342220
www.voazimbabwe.com;ZW;{'ASN': 3320, 'CityName': '', 'ConnectionType': 'WIFI', 'CountryCode': 'DE', 'DNSResolver': '217.237.148.5', 'GeolocationAccuracy': 10000, 'IPAddress': '87.134.79.183', 'Latitude': 51.3, 'Longitude': 9.49, 'Network': 'DTAG-DIAL100', 'NetworkID': 57852, 'Platform': 'ANDROID', 'ProbeID': 'a586b968-d886-4dd0-8ac0-933a0cfb49e0', 'Version': '3.8.0.0'};2018-07-16;408;Test timeout;0;http://www.voazimbabwe.com//a/trump-officials-we-know-where-all-the-children-are/4452468.html;200;0;0;0;0;0;1403855
www.southerneye.co.zw;ZW;{'ASN': 9143, 'CityName': 'Utrecht', 'ConnectionType': 'WIFI', 'CountryCode': 'NL', 'DNSResolver': '212.54.39.74', 'GeolocationAccuracy': 10000, 'IPAddress': '82.217.79.250', 'Latitude': 52.09, 'Longitude': 5.12, 'Network': 'ZIGGO-CM', 'NetworkID': 57353, 'Platform': 'ANDROID', 'ProbeID': '01d9d8ae-1800-4f49-9006-16a30e205439', 'Version': '3.4.1.0'};2018-07-16;200;OK;814;https://www.southerneye.co.zw/2017/06/01/residents-threaten-take-local-authority-head-rates/;200;146;0;12632;128;1245;1265541
