domain|cc|testID
www.voazimbabwe.com|ZW|d67a2cd7-0f5a-4b9c-a338-a1ee353efa6b
www.southerneye.co.zw|ZW|71ce2693-1f18-43f4-90a2-b389552f5825
www.voandebele.com|ZW|c94b3501-1dfb-45ae-8134-fa69b66a190d
www.bizday.co.zw|ZW|fa5b5e04-6ca1-438c-a090-9dd6331b3c93
www.zimbabwenews.net|ZW|FAILED
www.techzim.co.zw|ZW|360cbe5b-6344-4a23-b5f6-d7a409653301
www.southerneye.co.zw|ZW|d00da7f4-0373-4f52-b54f-5ee8cc581381
www.southerneye.co.zw|ZW|b282e62d-15af-4765-8882-1dc4f112d688
www.herald.co.zw|ZW|553d184a-5cee-4dbb-bc9e-ac0a53612825
www.southerneye.co.zw|ZW|56f5287e-30bd-4aff-b102-8312efcc220c
www.zimbabwesituation.com|ZW|0ceea48f-ccd7-4bb6-9399-cc24b5a0a2c8
www.bizday.co.zw|ZW|5a642342-c6a4-493e-b821-85e16415d760
www.technomag.co.zw|ZW|4cb31bf7-b770-4202-9e58-9e619fd8910a
www.herald.co.zw|ZW|df13cf5d-9f42-4d4a-a6b8-88863bf28ebc
www.herald.co.zw|ZW|0c341d69-0e74-48c4-8e82-063fb1727a0a
randburgsun.co.za|ZA|cb9e97c2-1647-4ae9-83a2-cf38f74d1c32
germistoncitynews.co.za|ZA|9ed9b733-821b-471b-a92c-0529e8a894fb
www.heraldlive.co.za|ZA|101651ca-5143-456c-a1c6-69be6e8bd80c
highwaymail.co.za|ZA|424568f0-af30-4ffc-a8d0-53325e15ea30
randburgsun.co.za|ZA|e03177c0-4719-4400-b175-15c8652b23dc
lowvelder.co.za|ZA|47a9df03-7439-47f8-9d88-fb164bf629fd
ladysmithgazette.co.za|ZA|73e7b8c9-ecf1-40fd-9d2c-62119387d81a
www.dailymaverick.co.za|ZA|c6f1a56e-a679-4eee-b906-24c27372f95f
northcliffmelvilletimes.co.za|ZA|fc16a557-5b90-4cfe-86fa-a21cf5a568a0
kemptonexpress.co.za|ZA|4828017c-fc1b-40c4-a5da-4e01ae849e96
www.kwevoel.co.za|ZA|538506f3-4ee3-43bb-828f-87be92a27e60
kemptonexpress.co.za|ZA|c905fdd2-7f71-4106-a2df-7da6b2804ada
northeasterntribune.co.za|ZA|0bee50c4-b8bb-482f-affb-fb35b7104b4d
southcoastsun.co.za|ZA|5e071112-0753-41d2-9020-1bf57cf7d2df
risingsunchatsworth.co.za|ZA|0d52d6ca-76ea-4f8e-8310-574748d22787
guineenews.org|GQ|fa1c0f3a-2d01-47d7-b49a-b77ca0d47c26
guineenews.org|GQ|707a8ca3-ebaa-4ea5-9521-f1d28b818bb5
aminata.com|GQ|8abd4578-4fc0-4559-b875-c3a14cdc8221
guineenews.org|GQ|5a5a2518-c72e-4a41-8af3-48468c4e1a91
