domain,name,cc
actualites.visages-du-benin.com,Visages du Benin,BJ
agora.co.ao,Agora,AO
alerte-info.net,Alerte Info,CI
algeriatimes.info,Algeria Times,DZ
alittihad.press.ma,Al Ittihad,MA
amharicnews.com,Amharic News,ET
batnainfo.com,Batna Info,DZ
benuenewsonline.com,Benue News Online,NG
brazza-news.com,Brazza News,CG
cocorioko.info,Cocorioko,SL
dailyegypt.net,Daily Egypt,EG
dailyindependentnig.com,Daily Independent,NG
egyptcmnews.com,Egypt Commercial News,EG
exame.co.ao,Exame,AO
expressng.com,Entertainment Express,NG
ghheadlines.com,GH Headlines,GH
hotnaijanews.com,Hot Naija News,NG
libyabizinfo.com,Libya Business Info,LY
lintelligentdabidjan.ci,L'Intelligent d'Abidjan,CI
marocgazette.com,Morocco Gazette,MA
mutations-online.info,Mutations,CM
mysierraleoneonline.com,My Sierra Leone Online,SL
newsbreaknigeria.com,News Break Nigeria,NG
ngex.com,Ng EX,NG
nigeriannewsportal.com,Nigerian News Portal,NG
observer.gm,Daily Observer,GM
owlpressonline.com,Owl,SL
rc1023.fm,Radio Continental,NG
salonepost.com,Salone Post,SL
salonetimespress.com,Salone Times,SL
sdeconews.com,Sudan Commerce News,SD
semanarioeconomico.co.ao,Semanario Economico,AO
skygatenews.com,Skygate News,NG
southsudaninfo.net,South Sudan Info,SS
sundayvani.intnet.mu,Sunday Vani,MU
tabloidmedia.co.za,Chatsworth Tabloid,ZA
tdailynews.net,Tunis Daily News,TN
thechronicle.com.gh,Ghanaian Chronicle,GH
thelead.com.ng,Lead,NG
thenewsscript.com,News Script,GH
trends.ng,Trends,NG
watchdog.co.ug,Watchdog News,UG
ww2.radionigeria.gov.ng,Radio Nigeria,NG
www.aayaha.net,Waayaha,SO
www.abp.gouv.bj,Agence Benin Presse,BJ
www.alayaam.net,Al Ayaam,SD
www.alchourouk.com,Al Chourouk,TN
www.alger-info.com,Alger Info,DZ
www.algeriabusinessinfo.com,Algeria Business Info,DZ
www.alrakoba.net,Al Rakoba,SD
www.alsudani.net,Al Sudani,SD
www.alwaslonline.com,Al Wasl,DZ
www.angolamonitor.co.ao,Angola Monitor,AO
www.ballito-fever.co.za,Ballito Fever,ZA
www.benin24tv.com,Benin 24 TV,BJ
www.blueprint.ng,Blueprint,NG
www.bordj.net,Bord Bou Arreridj Info,DZ
www.breede.com,Standard,ZA
www.burundi-info.com,Burundi Information,BI
www.businesstodayegypt.com,Business Today Egypt,EG
www.cabindanation.net,Cabinda Nation Press,AO
www.camerpost.com,Camer Post,CM
www.canalmoz.com,Canal de Mocambique,MZ
www.capitalethiopia.com,Capital,ET
www.capitalradiomalawi.com,Capital FM,MW
www.centrafriquelibre.info,Centrafrique Libre,CF
www.comores-web.com,Comores Web,KM
www.comoresonline.net,Comores Online,KM
www.congonline.com,Congonline,CD
www.corcas.com,Corcas,EH
www.dailynews.gov.bw,Daily News,BW
www.dailytimes.com.ng,Daily Times,NG
www.dakar-info.com,Dakar Info,SN
