domain,cc,size_mobile,size_desktop
247ureports.com,NG,78442,78442
263chat.com,ZW,243528,243510
7sur7.cd,CD,303144,303144
abangui.com,CF,52725,52725
abcafricanews.com,UG,91168,91150
abidjantv.net,CI,357685,357678
abpinfos.gov.bi,BI,29089,29089
abujavoice.com,NG,23785,23143
acpcongo.com,CD,113181,113181
actualites.visages-du-benin.com,BJ,109710,-1
addisfortune.net,ET,11234,72560
africanreporter.co.za,ZA,125084,284838
africansearchlight.com,NG,20978,20978
agora.co.ao,AO,-1,-1
ain-oulmene.com,DZ,41495,150175
akhbarachark.dz,DZ,266092,266092
akhbarelyom.com,EG,140570,99995
albayane.press.ma,MA,126524,126524
albertonrecord.co.za,ZA,125850,288300
alerte-info.net,CI,-1,-1
alexnews.co.za,ZA,106785,279804
algeriatimes.info,DZ,-1,-1
algerienetwork.com,DZ,232029,232029
alhadath-tv.com,EG,57,57
alittihad.press.ma,MA,-1,-1
allsbc.com,SO,51644,51644
almaugif.com,SS,218412,218412
alnabaa.tv,LY,58999,59174
amharicnews.com,ET,-1,-1
aminata.com,GQ,266299,266299
angolanas.net,AO,6808,6264
ar.leaders.com.tn,TN,61005,59467
asemana.sapo.cv,CV,3695,3695
assudan.net,SD,153109,153109
atoptogo.blogspot.com,TG,31594,28258
awate.com,ER,93228,93228
awoko.org,SL,34704,34704
bamendaonline.net,CM,6857,6495
banthutimes.com,MW,311,311
batnainfo.com,DZ,-1,-1
bayanealyaoume.press.ma,MA,379757,540510
bbstv.ug,UG,63797,63796
BC,MA,-1,-1
BC,NG,-1,-1
bedfordviewedenvalenews.co.za,ZA,125530,268275
bejaia-aujourdhui.com,DZ,1711,299
bel-abbes.info,DZ,4442,171436
beninsite.net,BJ,117663,117686
benonicitytimes.co.za,ZA,111766,291721
benuenewsonline.com,NG,-1,-1
bereamail.co.za,ZA,105849,276650
bizwatchnigeria.ng,NG,263838,263838
bj.jolome.com,BJ,605,605
blanknewsonline.wordpress.com,NG,164030,166978
boksburgadvertiser.co.za,ZA,111327,298218
brakpanherald.co.za,ZA,109681,279509
brazza-news.com,CG,-1,-1
breezefmchipata.com,ZM,36665,36658
bulawayo24.com,ZW,62475,82171
burundi-24.com,BI,17808,17808
businessdayonline.com,NG,81733,146812
businesseyengr.com,NG,2588,2588
businessnews.com.ng,NG,44844,44844
businessworldng.com,NG,11658,20116
buzzghana.com,GH,99925,101253
buzzkenya.com,KE,241197,241197
buzznigeria.com,NG,122459,123609
buzzsouthafrica.com,ZA,113911,114794
cameroonjournal.com,CM,146892,146892
cameroonwebnews.com,CM,11783,11783
capitalradio.co.ug,UG,84269,85013
centrafrique-presse.over-blog.com,CF,89677,249408
citizen.co.za,ZA,229326,229326
city1051fm.com,NG,71350,71350
citybuzz.co.za,ZA,104980,242911
cocorioko.info,SL,-1,-1
comarochronicle.co.za,ZA,113073,287477
completesportsnigeria.com,NG,134408,134408
congo-liberty.com,CG,29181,105744
congopanorama.info,CD,10583,10583
crossriverwatch.com,NG,114787,114787
crtv.cm,CM,403686,403686
cyberzena.com,ET,10984,11011
dailyegypt.net,EG,-1,-1
dailyindependentnig.com,NG,-1,-1
dailynews.gm,GM,5725,5725
dailypost.ng,NG,137249,138110
dailypost.ug,UG,106926,106926
dailyreviewonline.com.ng,NG,8924,9394
dailystar.com.ng,NG,76281,77054
desertherald.com,NG,895,895
diasporasaharaui-en.blogspot.com,EH,41562,290435
dieson.mobi,ZA,35661,60738
diplomat.so,SO,130381,130381
djiboutination.com,DJ,7314,7314
eagle.co.ug,UG,49593,144504
eaglereporters.com,NG,63639,20786
ecadforum.com,ET,114170,114170
echosdesidibelabbes.info,DZ,22952,22952
economiaemercado.sapo.ao,AO,85503,85503
ectv.org,ET,36934,36935
edennewspaper.org,CM,63105,69984
egyptcmnews.com,EG,-1,-1
egypttoday.com,EG,69210,69210
el-youm.info,DZ,215303,215303
elayem.com,DZ,2645,2645
elmassar-ar.com,DZ,74378,74378
elraaed.com,DZ,184886,184886
elwaha-dz.com,DZ,64133,184751
elwatani.com,DZ,108623,108623
es.groups.yahoo.com,EH,49952,57695
ethioforum.org,ET,2888,2884
ethiopiaforums.com,ET,75804,75804
ethiopianreview.com,ET,17777,17777
evasion.lepays.bf,BF,80947,80947
ewn.co.za,ZA,218312,223137
exame.co.ao,AO,-1,-1
exposeghana.com,GH,57380,57380
expressng.com,NG,-1,-1
eyeradio.org,SS,41664,41664
faso-actu.net,BF,99914,99914
financenews.press.ma,MA,40899,40899
flashpointnews.wordpress.com,NG,420706,448559
focus.rw,RW,52320,52320
foroyaa.gm,GM,279433,279433
fourwaysreview.co.za,ZA,111157,293549
fr.alakhbar.info,MR,31321,31321
gabonreview.com,GA,111068,111068
gainako.com,GM,172133,172133
germinalnewspaper.com,CM,804,804
germistoncitynews.co.za,ZA,112632,297788
ghanaianlens.com,GH,315,315
ghananewslink.com,GH,94371,94371
ghananewsportal.com,GH,7462,7462
ghheadlines.com,GH,-1,-1
gistyinka.net,NG,18067,17999
globalvillageextra.com,NG,195981,195981
gloryfm.com,NG,16255,26990
gnnliberia.com,LR,101974,101973
goldenpennewspaper.blogspot.com,NG,39931,137074
graphic.com.gh,GH,15604,15604
guinea-forum.org,GQ,31191,59931
guineeactu.info,GQ,59469,59380
guineenews.org,GQ,298946,300097
haatuf.net,SO,48614,48614
happyghana.com,GH,73458,72205
hebdo.ahram.org.eg,EG,104865,104865
heritageliberia.net,LR,7597,7597
highwaymail.co.za,ZA,110918,283497
hmetro.co.zw,ZW,90957,90957
hotnaijanews.com,NG,-1,-1
iharare.com,ZW,132265,135481
imvahonshya.co.rw,RW,92360,92360
ireports-ng.com,NG,202882,202882
