domain,name,cc,region,type,category,language,comment,geoloc_cc,geoloc_city,traceloc_cc,traceloc_city,size_mobile,size_desktop
247ureports.com,247 U Reports,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
263chat.com,263 Chat,ZW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
7sur7.cd,7 sur 7,CD,National,IN,GI,FRA,Covers Bas Congo,NULL,NULL,NULL,NULL,NULL,NULL
abangui.com,A Bangui,CF,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
abcafricanews.com,ABC Africa,UG,Kampala,NP,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
abidjantv.net,Abidjan TV,CI,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
abpinfos.gov.bi,Agence Burundaise de Presse,BI,Nationwide,PA,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
abujavoice.com,Abuja Voice,NG,Abuja,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
acpcongo.com,Agence Congolaise de Presse,CD,National,PA,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
actualites.visages-du-benin.com,Visages du Benin,BJ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
addisfortune.net,Addis Fortune,ET,Addis Ababa,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
africanreporter.co.za,African Reporter,ZA,Johannesburg (East),NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
africansearchlight.com,African Searchlight,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
agora.co.ao,Agora,AO,Luanda,NP,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
ain-oulmene.com,Les Nouvelles de Ain Oulmene,DZ,Ain Oulmene,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
akhbarachark.dz,Akhbar Achark,DZ,Annaba,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
akhbarelyom.com,Al Akhbar,EG,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
albayane.press.ma,Al Bayane,MA,Casablanca,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
albertonrecord.co.za,Alberton Record,ZA,Alberton,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
alerte-info.net,Alerte Info,CI,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
alexnews.co.za,Alex News,ZA,Alexandra,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
algeriatimes.info,Algeria Times,DZ,National,IN,GI,ARA,Site 2,NULL,NULL,NULL,NULL,NULL,NULL
algerienetwork.com,Algerie Network,DZ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
alhadath-tv.com,Al Hadath,EG,National,BC,GI,ARA,TV,NULL,NULL,NULL,NULL,NULL,NULL
alittihad.press.ma,Al Ittihad,MA,Casablanca,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
allsbc.com,SBC,SO,Boosaaso,BC,GI,SOM,Radio TV,NULL,NULL,NULL,NULL,NULL,NULL
almaugif.com,Al Maugif,SS,Juba,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
alnabaa.tv,Al Nabaa,LY,Nationwide,BC,GI,ARA,TV,NULL,NULL,NULL,NULL,NULL,NULL
amharicnews.com,Amharic News,ET,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
aminata.com,Aminata,GQ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
angolanas.net,Angolanas,AO,National,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
ar.leaders.com.tn,Leaders,TN,National,MG,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
asemana.sapo.cv,A Semana,CV,Praia,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
assudan.net,Assudan,SD,National,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
atoptogo.blogspot.com,Agence Togolaise de Presse,TG,National,PA,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
awate.com,Awate,ER,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
awoko.org,Awoko,SL,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
bamendaonline.net,Bamenda Online,CM,Bamenda,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
banthutimes.com,Banthu Times,MW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
batnainfo.com,Batna Info,DZ,Batna,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
bayanealyaoume.press.ma,Bayane Al Yaoume,MA,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
bbstv.ug,BBS,UG,National,BC,GI,LUG,TV,NULL,NULL,NULL,NULL,NULL,NULL
