"domain","name","cc","region","type","category","language","comment","geoloc_cc",size_mobile,size_desktop
"247ureports.com","247 U Reports","NG","Nationwide","IN","GI","ENG","","US-AZ",78442,78442
"263chat.com","263 Chat","ZW","National","IN","GI","ENG","","US-UT",243528,243510
"7sur7.cd","7 sur 7","CD","National","IN","GI","FRA","Covers Bas Congo","US-CO",303144,303144
"abangui.com","A Bangui","CF","Nationwide","IN","GI","FRA","","US",52725,52725
"abcafricanews.com","ABC Africa","UG","Kampala","NP","BU","ENG","","US-UT",91168,91150
"abidjantv.net","Abidjan TV","CI","National","IN","GI","FRA","","CA-QC",357685,357678
"abpinfos.gov.bi","Agence Burundaise de Presse","BI","Nationwide","PA","GI","FRA","","DE",29089,29089
"abujavoice.com","Abuja Voice","NG","Abuja","IN","GI","ENG","","US-TX",23785,23143
"acpcongo.com","Agence Congolaise de Presse","CD","National","PA","GI","FRA","","US-NJ",113181,113181
"actualites.visages-du-benin.com","Visages du Benin","BJ","National","IN","GI","FRA","","US-CA",109710,109710
"addisfortune.net","Addis Fortune","ET","Addis Ababa","NP","GI","ENG","","US-CA",11234,72560
"africanreporter.co.za","African Reporter","ZA","Johannesburg (East)","NP","GI","ENG","","US",125084,284838
"africansearchlight.com","African Searchlight","NG","Nationwide","IN","GI","ENG","","US-AZ",20978,20978
"ain-oulmene.com","Les Nouvelles de Ain Oulmene","DZ","Ain Oulmene","IN","GI","FRA","","FR",41495,150175
"akhbarachark.dz","Akhbar Achark","DZ","Annaba","NP","GI","ARA","","FR",266092,266092
"akhbarelyom.com","Al Akhbar","EG","National","NP","GI","ARA","","US",140570,99995
"albayane.press.ma","Al Bayane","MA","Casablanca","NP","GI","FRA","","MA",126524,126524
"albertonrecord.co.za","Alberton Record","ZA","Alberton","NP","GI","ENG","","US",125850,288300
"alexnews.co.za","Alex News","ZA","Alexandra","NP","GI","ENG","","US",106785,279804
"algerienetwork.com","Algerie Network","DZ","National","IN","GI","FRA","","US-UT",232029,232029
"alhadath-tv.com","Al Hadath","EG","National","BC","GI","ARA","TV","JO",57,57
"allsbc.com","SBC","SO","Boosaaso","BC","GI","SOM","Radio TV","US-TX",51644,51644
"almaugif.com","Al Maugif","SS","Juba","NP","GI","ARA","","US-CA",218412,218412
"alnabaa.tv","Al Nabaa","LY","Nationwide","BC","GI","ARA","TV","US",58999,59174
"aminata.com","Aminata","GQ","National","IN","GI","FRA","","US-NJ",266299,266299
"angolanas.net","Angolanas","AO","National","IN","GI","POR","","US-WA",6808,6264
"ar.leaders.com.tn","Leaders","TN","National","MG","GI","ARA","","FR",61005,59467
"asemana.sapo.cv","A Semana","CV","Praia","NP","GI","ENG","","FR",3695,3695
"assudan.net","Assudan","SD","National","IN","GI","ARA","","US-CA",153109,153109
"atoptogo.blogspot.com","Agence Togolaise de Presse","TG","National","PA","GI","FRA","","US-CA",31594,28258
"awate.com","Awate","ER","Foreign","IN","GI","ENG","","US-CA",93228,93228
"awoko.org","Awoko","SL","National","NP","GI","ENG","","US-UT",34704,34704
"bamendaonline.net","Bamenda Online","CM","Bamenda","IN","GI","ENG","","US-WA",6857,6495
"banthutimes.com","Banthu Times","MW","National","IN","GI","ENG","","US-AZ",311,311
"bayanealyaoume.press.ma","Bayane Al Yaoume","MA","National","NP","GI","ARA","","MA",379757,540510
"bbstv.ug","BBS","UG","National","BC","GI","LUG","TV","US-VA",63797,63796
"bedfordviewedenvalenews.co.za","Bedfordview Edenvale News","ZA","Bedfordview","NP","GI","ENG","","US",125530,268275
"bejaia-aujourdhui.com","Bejaia Aujourd'hui","DZ","Bejaia","IN","GI","FRA","","NL",1711,299
"bel-abbes.info","Bel Abbes Info","DZ","Sidi bel Abbes","IN","GI","FRA","","FR",4442,171436
"beninsite.net","Benin Site","BJ","National","IN","GI","FRA","","US-AZ",117663,117686
"benonicitytimes.co.za","Benoni City Times","ZA","Benoni","NP","GI","ENG","Also AFR","US",111766,291721
"bereamail.co.za","Berea Mail","ZA","Berea","NP","GI","ENG","","US",105849,276650
"bizwatchnigeria.ng","Biz Watch Nigeria","NG","Nationwide","IN","BU","ENG","","US-NJ",263838,263838
"bj.jolome.com","Jolome News","BJ","National","IN","GI","FRA","","US-TX",605,605
"blanknewsonline.wordpress.com","Blank News Online","NG","Asaba","IN","GI","ENG","","US-CA",164030,166978
"boksburgadvertiser.co.za","Boksburg Advertiser","ZA","Boksburg","NP","GI","ENG","Also AFR","US",111327,298218
"brakpanherald.co.za","Brakpan Herald","ZA","Brakpan","NP","GI","ENG","Also AFR","US",109681,279509
"breezefmchipata.com","Breeze 89.3 FM","ZM","Chipata","BC","GI","ENG","Radio","DK",36665,36658
"bulawayo24.com","Bulawayo 24 News","ZW","Bulawayo","IN","GI","ENG","","GB",62475,82171
"burundi-24.com","Burundi 24","BI","Nationwide","IN","GI","ENG","","FR",17808,17808
"businessdayonline.com","Business Day","NG","Lagos","NP","BU","ENG","","US-MI",81733,146812
"businesseyengr.com","Business Eye","NG","Nationwide","MG","BU","ENG","","JP",2588,2588
"businessnews.com.ng","Business News","NG","Nationwide","IN","BU","ENG","","US",44844,44844
"businessworldng.com","Business World","NG","Lagos","NP","BU","ENG","","VG",11658,20116
"buzzghana.com","Buzz Ghana","GH","National","IN","GI","ENG","","US",99925,101253
"buzzkenya.com","Buzz Kenya","KE","National","IN","GI","ENG","","US",241197,241197
"buzznigeria.com","Buzz Nigeria","NG","Nationwide","IN","GI","ENG","","US",122459,123609
"buzzsouthafrica.com","Buzz South Africa","ZA","National","IN","GI","ENG","","US",113911,114794
"cameroonjournal.com","Cameroon Daily Journal","CM","Nationwide","IN","GI","ENG","","US-CA",146892,146892
"cameroonwebnews.com","Cameroon Web News","CM","Nationwide","IN","GI","FRA","Also ENG","US-MA",11783,11783
"capitalradio.co.ug","Capital FM","UG","Kampala","BC","GI","ENG","Radio","US",84269,85013
"centrafrique-presse.over-blog.com","Centrafrique Presse","CF","Nationwide","IN","GI","FRA","","FR",89677,249408
"citizen.co.za","Citizen","ZA","Johannesburg","NP","GI","ENG","","ZA",229326,229326
"city1051fm.com","City 105.1 FM","NG","Lagos","BC","GI","ENG","Radio","US-TX",71350,71350
