"cc","operator","quarter",price
"DZ","Mobilis (Algerie Telecom)","2015_Q4",42.2761478
"DZ","Mobilis (Algerie Telecom)","2016_Q1",9.326531183
"DZ","Mobilis (Algerie Telecom)","2016_Q2",9.17490114
"DZ","Mobilis (Algerie Telecom)","2016_Q3",9.156167594
"DZ","Mobilis (Algerie Telecom)","2016_Q4",12.14573915
"DZ","Mobilis (Algerie Telecom)","2017_Q1",9.142857143
"DZ","Mobilis (Algerie Telecom)","2017_Q2",9.205560158
"DZ","Mobilis (Algerie Telecom)","2017_Q3",9.13492281
"DZ","Mobilis (Algerie Telecom)","2017_Q4",6.998512816
"DZ","Ooredoo (NMTC)","2015_Q3",9.773929022
"DZ","Ooredoo (NMTC)","2015_Q4",9.394699511
"DZ","Ooredoo (NMTC)","2016_Q1",9.326531183
"DZ","Ooredoo (NMTC)","2016_Q2",9.17490114
"DZ","Ooredoo (NMTC)","2016_Q3",9.156167594
"DZ","Ooredoo (NMTC)","2016_Q4",12.14573915
"DZ","Ooredoo (NMTC)","2017_Q1",9.142857143
"DZ","Ooredoo (NMTC)","2017_Q2",9.205560158
"DZ","Ooredoo (NMTC)","2017_Q3",9.13492281
"DZ","Ooredoo (NMTC)","2017_Q4",8.74814102
"DZ","Djezzy","2015_Q2",61.35734724
"DZ","Djezzy","2015_Q3",58.64357413
"DZ","Djezzy","2015_Q4",14.09204927
"DZ","Djezzy","2016_Q1",13.98979677
"DZ","Djezzy","2016_Q2",55.04940684
"DZ","Djezzy","2016_Q3",54.93700557
"DZ","Djezzy","2016_Q4",9.716591323
"DZ","Djezzy","2017_Q1",7.314285714
"DZ","Djezzy","2017_Q2",7.364448127
"DZ","Djezzy","2017_Q3",7.307938248
"DZ","Djezzy","2017_Q4",6.998512816
"AO","Unitel","2016_Q1",17.45584318
"AO","Unitel","2016_Q2",16.4179649
"AO","Unitel","2016_Q3",16.35739081
"AO","Unitel","2016_Q4",22.71625878
"AO","Unitel","2017_Q1",22.71598357
"AO","Unitel","2017_Q2",22.71515798
"AO","Unitel","2017_Q3",22.71488279
"AO","Unitel","2017_Q4",22.7139197
"AO","Movicel","2015_Q2",11.28657981
"AO","Movicel","2015_Q3",9.893702065
"AO","Movicel","2015_Q4",9.284223505
"AO","Movicel","2016_Q1",16.16281776
"AO","Movicel","2016_Q2",15.20181935
"AO","Movicel","2016_Q3",15.14573224
"AO","Movicel","2016_Q4",19.99030773
"AO","Movicel","2017_Q1",19.99006554
"AO","Movicel","2017_Q3",19.98909686
"AO","Movicel","2017_Q4",19.98824933
"BJ","MTN","2014_Q3",119.0992864
"BJ","MTN","2014_Q4",112.3871604
