"domain","cc","object_type","object_url","object_domain",object_size,"object_loc_cc","cdn_domain","cdn_name"
"www.voaportugues.com","AO","video","https://voanews-vh.akamaihd.net/i/Pangeavideo/2018/01/4/4d/4df7dad7-eeb6-499d-a2a8-ed988e937d09,_mobile,,_hq,_fullhd,.mp4.csmil/master.m3u8","voanews-vh.akamaihd.net",1068,"SE","akamaihd.net","Akamai"
"www.nrgui.com","GQ","image","https://fb-s-b-a.akamaihd.net/h-ak-fbx/v/t1.0-0/p526x296/24862495_10210723764270293_4663822555560383694_n.jpg?oh=ca7c026dd6c4ec33614b41fe852ea27e&oe=5A8C605E&__gda__=1519609898_eb7a2dac53b81f653fb1152f2d82d397","fb-s-b-a.akamaihd.net",36496,"EU","akamaihd.net","Akamai"
"www.theheraldnews.info","NG","image","http://cdncache-a.akamaihd.net/items/it/img/arrow-10x10.png","cdncache-a.akamaihd.net",1101,"SE","akamaihd.net","Akamai"
"www.theheraldnews.info","NG","image","http://cdncache-a.akamaihd.net/items/it/img/arrow-10x10.png","cdncache-a.akamaihd.net",1101,"SE","akamaihd.net","Akamai"
"www.lexpertjournal.net","TN","image","https://fbcdn-photos-d-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-0/s526x395/13912445_977263702371375_7697346772389493843_n.jpg?oh=c24461497b785b6d832599ee4260eddf&oe=581D0CF0&__gda__=1481859264_576665797f16b6b7020e153343d60e7d","fbcdn-photos-d-a.akamaihd.net",-1,"NL","akamaihd.net","Akamai"
"www.voandebele.com","ZW","video","https://voanews-vh.akamaihd.net/i/Pangeavideo/2018/02/c/c0/c0171edb-d292-4081-a24b-451ccaa1d334,_mobile,,_hq,_fullhd,.mp4.csmil/master.m3u8","voanews-vh.akamaihd.net",1068,"SE","akamaihd.net","Akamai"
"www.voashona.com","ZW","video","https://voanews-vh.akamaihd.net/i/Pangeavideo/2018/02/1/16/16ef1b63-609c-49c6-a75d-85c8e49b4b60,_mobile,,_hq,_fullhd,.mp4.csmil/master.m3u8","voanews-vh.akamaihd.net",1068,"SE","akamaihd.net","Akamai"
"www.expansao.co.ao","AO","image","http://nvcdn.azureedge.net/exp/fotos/2018/top/ng1023332.jpg?type=artigo","nvcdn.azureedge.net",875396,"EU","azureedge.net","Microsoft Azure"
"www.expansao.co.ao","AO","image","http://nvcdn.azureedge.net/exp/fotos/opiniao/carlos_rosado_de_carvalho.png","nvcdn.azureedge.net",35395,"EU","azureedge.net","Microsoft Azure"
"www.expansao.co.ao","AO","image","http://nvcdn.azureedge.net/exp/fotos/2018/top/ng1023332.jpg?type=artigo","nvcdn.azureedge.net",875396,"EU","azureedge.net","Microsoft Azure"
"www.expansao.co.ao","AO","image","http://nvcdn.azureedge.net/exp/fotos/2018/top/ng1023333.jpg?type=artigo","nvcdn.azureedge.net",40771,"EU","azureedge.net","Microsoft Azure"
"www.expansao.co.ao","AO","image","http://nvcdn.azureedge.net/exp/fotos/2018/top/ng1023335.jpg?type=artigo","nvcdn.azureedge.net",115639,"EU","azureedge.net","Microsoft Azure"
