"domain","cc","object_domain","object_loc_cc","cdn_domain"
"247ureports.com","NG","pagead2.googlesyndication.com","US-CA","googlesyndication."
"263chat.com","ZW","i1.wp.com","US-CA","wp.com"
"263chat.com","ZW","stats.wp.com","US-CA","wp.com"
"263chat.com","ZW","secure.gravatar.com","US-CA","gravatar.com"
"263chat.com","ZW","i2.wp.com","US-CA","wp.com"
"263chat.com","ZW","s0.wp.com","US-CA","wp.com"
"263chat.com","ZW","i0.wp.com","US-CA","wp.com"
"7sur7.cd","CD","stats.wp.com","US-CA","wp.com"
"7sur7.cd","CD","s.gravatar.com","US-CA","gravatar.com"
"7sur7.cd","CD","i2.wp.com","US-CA","wp.com"
"7sur7.cd","CD","s0.wp.com","US-CA","wp.com"
"7sur7.cd","CD","i0.wp.com","US-CA","wp.com"
"7sur7.cd","CD","i1.wp.com","US-CA","wp.com"
"abcafricanews.com","UG","i1.wp.com","US-CA","wp.com"
"abcafricanews.com","UG","s0.wp.com","US-CA","wp.com"
"abcafricanews.com","UG","i0.wp.com","US-CA","wp.com"
"abcafricanews.com","UG","i2.wp.com","US-CA","wp.com"
"abcafricanews.com","UG","stats.wp.com","US-CA","wp.com"
"abidjantv.net","CI","s.gravatar.com","US-CA","gravatar.com"
"abidjantv.net","CI","lago2.egroup.netdna-cdn.com","US","netdna-cdn.com"
"abidjantv.net","CI","stats.wp.com","US-CA","wp.com"
"abidjantv.net","CI","lago2.egroup.netdna-cdn.com","US-TX","netdna-cdn.com"
"abidjantv.net","CI","s0.wp.com","US-CA","wp.com"
"acpcongo.com","CD","s0.wp.com","US-CA","wp.com"
"acpcongo.com","CD","i1.wp.com","US-CA","wp.com"
"acpcongo.com","CD","i2.wp.com","US-CA","wp.com"
"acpcongo.com","CD","stats.wp.com","US-CA","wp.com"
"acpcongo.com","CD","s.gravatar.com","US-CA","gravatar.com"
"acpcongo.com","CD","i0.wp.com","US-CA","wp.com"
"africanreporter.co.za","ZA","www.facebook.com","IE","facebook.com"
"africanreporter.co.za","ZA","www.google.com","US-CA","google."
"ain-oulmene.com","DZ","s.gravatar.com","US-CA","gravatar.com"
"ain-oulmene.com","DZ","stats.wp.com","US-CA","wp.com"
"ain-oulmene.com","DZ","s0.wp.com","US-CA","wp.com"
"akhbarachark.dz","DZ","1.gravatar.com","US-CA","gravatar.com"
"akhbarachark.dz","DZ","2.gravatar.com","US-CA","gravatar.com"
"akhbarachark.dz","DZ","0.gravatar.com","US-CA","gravatar.com"
"akhbarelyom.com","EG","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"akhbarelyom.com","EG","ajax.cloudflare.com","US","cloudflare.com"
"albertonrecord.co.za","ZA","www.google.com","US-CA","google."
"albertonrecord.co.za","ZA","www.facebook.com","IE","facebook.com"
"alexnews.co.za","ZA","www.google.com","US-CA","google."
"alexnews.co.za","ZA","www.facebook.com","IE","facebook.com"
"algerienetwork.com","DZ","img.youtube.com","US-CA","youtube."
"algerienetwork.com","DZ","2.gravatar.com","US-CA","gravatar.com"
"allsbc.com","SO","s.gravatar.com","US-CA","gravatar.com"
"allsbc.com","SO","stats.wp.com","US-CA","wp.com"
"allsbc.com","SO","s0.wp.com","US-CA","wp.com"
"alnabaa.tv","LY","s.yimg.com","GB","yimg."
"aminata.com","GQ","secure.gravatar.com","US-CA","gravatar.com"
"aminata.com","GQ","securepubads.g.doubleclick.net","US-CA","doubleclick.net"
"aminata.com","GQ","pagead2.googlesyndication.com","US-CA","googlesyndication."
"aminata.com","GQ","www.facebook.com","IE","facebook.com"
"angolanas.net","AO","www.google.com","US-CA","google."
"ar.leaders.com.tn","TN","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"atoptogo.blogspot.com","TG","apis.google.com","US-CA","google."
"awate.com","ER","pagead2.googlesyndication.com","US-CA","googlesyndication."
"bedfordviewedenvalenews.co.za","ZA","www.google.com","US-CA","google."
"bedfordviewedenvalenews.co.za","ZA","www.facebook.com","IE","facebook.com"
"benonicitytimes.co.za","ZA","www.facebook.com","IE","facebook.com"
"benonicitytimes.co.za","ZA","www.google.com","US-CA","google."
"bereamail.co.za","ZA","www.facebook.com","IE","facebook.com"
"bereamail.co.za","ZA","www.google.com","US-CA","google."
"bizwatchnigeria.ng","NG","apis.google.com","US-CA","google."
"bizwatchnigeria.ng","NG","stats.wp.com","US-CA","wp.com"
"bizwatchnigeria.ng","NG","s0.wp.com","US-CA","wp.com"
"blanknewsonline.wordpress.com","NG","0.gravatar.com","US-CA","gravatar.com"
"blanknewsonline.wordpress.com","NG","pixel.wp.com","US-CA","wp.com"
"blanknewsonline.wordpress.com","NG","s1.wp.com","US-CA","wp.com"
"blanknewsonline.wordpress.com","NG","blanknewsonline.files.wordpress.com","US-CA","wordpress.com"
"blanknewsonline.wordpress.com","NG","s2.wp.com","US-CA","wp.com"
"boksburgadvertiser.co.za","ZA","www.google.com","US-CA","google."
"boksburgadvertiser.co.za","ZA","www.facebook.com","IE","facebook.com"
"brakpanherald.co.za","ZA","www.google.com","US-CA","google."
"brakpanherald.co.za","ZA","www.facebook.com","IE","facebook.com"
"bulawayo24.com","ZW","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"burundi-24.com","BI","cdn.jsdelivr.net","US","cdn.jsdelivr.net"
"businessdayonline.com","NG","cdnjs.cloudflare.com","US","cloudflare.com"
"businessnews.com.ng","NG","1.gravatar.com","US-CA","gravatar.com"
"businessnews.com.ng","NG","0.gravatar.com","US-CA","gravatar.com"
"buzzghana.com","GH","s0.wp.com","US-CA","wp.com"
"buzzghana.com","GH","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"buzzghana.com","GH","stats.wp.com","US-CA","wp.com"
"buzzkenya.com","KE","stats.wp.com","US-CA","wp.com"
"buzzkenya.com","KE","s0.wp.com","US-CA","wp.com"
"buzznigeria.com","NG","stats.wp.com","US-CA","wp.com"
"buzznigeria.com","NG","s0.wp.com","US-CA","wp.com"
"buzznigeria.com","NG","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"buzzsouthafrica.com","ZA","s0.wp.com","US-CA","wp.com"
"buzzsouthafrica.com","ZA","secure.gravatar.com","US-CA","gravatar.com"
