"domain","cc","geoloc_cc",size_mobile,"price1gb","price_mobile",size_desktop,"price_desktop"
"angolanas.net","AO","US",6808,"21.3511","0.0001",6264,"0.0001"
"economiaemercado.sapo.ao","AO","PT",85503,"21.3511","0.0017",85503,"0.0017"
"jornaldeangola.sapo.ao","AO","PT",78560,"21.3511","0.0016",78558,"0.0016"
"jornaldeeconomia.sapo.ao","AO","PT",2599,"21.3511","0.0001",36787,"0.0007"
"jornaldosdesportos.sapo.ao","AO","PT",2575,"21.3511","0.0001",57124,"0.0011"
"jornalf8.net","AO","PT",166282,"21.3511","0.0033",166282,"0.0033"
"novagazeta.co.ao","AO","PT",21726,"21.3511","0.0004",21726,"0.0004"
"opais.co.ao","AO","US",85492,"21.3511","0.0017",85494,"0.0017"
"radiodespertarangola.net","AO","US",114346,"21.3511","0.0023",114346,"0.0023"
"tpa.sapo.ao","AO","PT",145868,"21.3511","0.0029",145729,"0.0029"
"www.actsa.org","AO","GB",31945,"21.3511","0.0006",31945,"0.0006"
"www.africa21digital.com","AO","BR",105678,"21.3511","0.0021",105678,"0.0021"
"www.africatoday.co.ao","AO","IT",85448,"21.3511","0.0017",85448,"0.0017"
"www.angola24.net","AO","",21523,"21.3511","0.0004",21523,"0.0004"
"www.angonoticias.com","AO","PT",45493,"21.3511","0.0009",45486,"0.0009"
"www.club-k.net","AO","US",122303,"21.3511","0.0024",123001,"0.0024"
"www.expansao.co.ao","AO","US",81319,"21.3511","0.0016",81319,"0.0016"
"www.ibinda.com","AO","PT",26096,"21.3511","0.0005",26096,"0.0005"
"www.mercado.co.ao","AO","GB",62042,"21.3511","0.0012",62042,"0.0012"
"www.novojornal.co.ao","AO","US",243873,"21.3511","0.0048",243873,"0.0048"
"www.portalangop.co.ao","AO","AO",82118,"21.3511","0.0016",82118,"0.0016"
"www.portaldeangola.com","AO","US",484444,"21.3511","0.0096",484444,"0.0096"
"www.radioecclesia.org","AO","NL",90394,"21.3511","0.0018",94826,"0.0019"
"www.redeangola.info","AO","US",18854,"21.3511","0.0004",18876,"0.0004"
"www.rumo.co.ao","AO","GB",114279,"21.3511","0.0023",114279,"0.0023"
"www.sapo.ao","AO","PT",113952,"21.3511","0.0023",113952,"0.0023"
"www.voaportugues.com","AO","NL",74548,"21.3511","0.0015",74550,"0.0015"
"evasion.lepays.bf","BF","FR",80947,"8.3799","0.0006",80947,"0.0006"
"faso-actu.net","BF","FR",99914,"8.3799","0.0008",99914,"0.0008"
"lefaso.net","BF","FR",105999,"8.3799","0.0008",105999,"0.0008"
"lepays.bf","BF","FR",374181,"8.3799","0.0029",257050,"0.0020"
"www.aib.bf","BF","FR",62252,"8.3799","0.0005",62252,"0.0005"
"www.aouaga.com","BF","US",66531,"8.3799","0.0005",66531,"0.0005"
"www.courrierconfidentiel.net","BF","FR",46081,"8.3799","0.0004",46081,"0.0004"
"www.fasopresse.net","BF","FR",47805,"8.3799","0.0004",47805,"0.0004"
"www.lobservateur.bf","BF","US",70408,"8.3799","0.0005",71679,"0.0006"
"www.rtb.bf","BF","FR",648497,"8.3799","0.0051",648497,"0.0051"
"www.sidwaya.bf","BF","FR",74585,"8.3799","0.0006",74585,"0.0006"
"burundi-24.com","BI","FR",17808,"3.5154","0.0001",17808,"0.0001"
"ppbdi.com","BI","US",123230,"3.5154","0.0004",122675,"0.0004"
"www.arib.info","BI","FR",2899056,"3.5154","0.0095",2899056,"0.0095"
"www.bonesha.bi","BI","DE",8472,"3.5154","0.0000",8763,"0.0000"
"www.burundi-sites.com","BI","FR",17180,"3.5154","0.0001",17180,"0.0001"
"www.isanganiro.org","BI","CH",28147,"3.5154","0.0001",28147,"0.0001"
"www.iwacu-burundi.org","BI","US",108691,"3.5154","0.0004",108691,"0.0004"
"www.netpress.bi","BI","BI",201855,"3.5154","0.0007",201855,"0.0007"
"www.rpa.bi","BI","CH",162916,"3.5154","0.0005",162916,"0.0005"
"actualites.visages-du-benin.com","BJ","US",109710,"8.3799","0.0009",109710,"0.0009"
"beninsite.net","BJ","US",117663,"8.3799","0.0009",117686,"0.0009"
"latribunedelacapitale.com","BJ","US",161417,"8.3799","0.0013",161417,"0.0013"
"lautrefraternite.com","BJ","US",87065,"8.3799","0.0007",87583,"0.0007"
"leconfrere.info","BJ","FR",69559,"8.3799","0.0005",69559,"0.0005"
"levenementprecis.com","BJ","US",143440,"8.3799","0.0011",143440,"0.0011"
"www.24haubenin.info","BJ","FR",52376,"8.3799","0.0004",52376,"0.0004"
"www.acotonou.com","BJ","US",62746,"8.3799","0.0005",62746,"0.0005"
"www.actubenin.com","BJ","US",322522,"8.3799","0.0025",323217,"0.0025"
"www.autrequotidien.com","BJ","US",63115,"8.3799","0.0005",69996,"0.0005"
"www.benin24tv.com","BJ","US",110455,"8.3799","0.0009",110455,"0.0009"
"www.benininfo.com","BJ","US",142527,"8.3799","0.0011",142527,"0.0011"
"www.fraternitebj.info","BJ","FR",92891,"8.3799","0.0007",92891,"0.0007"
"www.golfemediaonline.com","BJ","US",43732,"8.3799","0.0003",43732,"0.0003"
"www.icibenin.com","BJ","CA",149208,"8.3799","0.0012",149208,"0.0012"
"www.journal-adjinakou-benin.info","BJ","US",39083,"8.3799","0.0003",39083,"0.0003"
"www.lanationbenin.info","BJ","FR",116489,"8.3799","0.0009",116486,"0.0009"
"www.lanouvelletribune.info","BJ","US",233001,"8.3799","0.0018",232569,"0.0018"
"www.lapressedujour.net","BJ","US",26237,"8.3799","0.0002",46712,"0.0004"
"www.laraignee.org","BJ","US",89847,"8.3799","0.0007",89847,"0.0007"
"www.les4verites.info","BJ","FR",54603,"8.3799","0.0004",54603,"0.0004"
"www.ortb.info","BJ","US",60598,"8.3799","0.0005",60598,"0.0005"
"www.quotidienlematin.com","BJ","US",5552,"8.3799","0.0000",5552,"0.0000"
"news.google.com","BW","US",593376,"33.5159","0.0185",1082056,"0.0338"
"www.botswanaguardian.co.bw","BW","BG",49568,"33.5159","0.0015",49568,"0.0015"
"www.echo.co.bw","BW","BW",2793,"33.5159","0.0001",2793,"0.0001"
"www.gabzfm.com","BW","US",1723,"33.5159","0.0001",1723,"0.0001"
"www.ngamitimes.com","BW","US",74804,"33.5159","0.0023",74804,"0.0023"
"www.sundaystandard.info","BW","BW",105642,"33.5159","0.0033",105642,"0.0033"
"www.thepatriot.co.bw","BW","ZA",50840,"33.5159","0.0016",50840,"0.0016"
"www.thevoicebw.com","BW","US",228967,"33.5159","0.0071",228967,"0.0071"
"7sur7.cd","CD","US",303144,"20.0000","0.0056",303144,"0.0056"
"acpcongo.com","CD","US",113181,"20.0000","0.0021",113181,"0.0021"
"congopanorama.info","CD","JP",10583,"20.0000","0.0002",10583,"0.0002"
"radiookapi.net","CD","US",61782,"20.0000","0.0012",111495,"0.0021"
"www.business-et-finances.com","CD","CA",187897,"20.0000","0.0035",187897,"0.0035"
"www.congoindependant.com","CD","DK",70426,"20.0000","0.0013",70426,"0.0013"
"www.congolais.fr","CD","FR",4164,"20.0000","0.0001",4164,"0.0001"
"www.congoplanet.com","CD","US",45163,"20.0000","0.0008",45243,"0.0008"
"www.congoplanete.com","CD","US",47966,"20.0000","0.0009",47932,"0.0009"
"www.congotribune.com","CD","JP",36080,"20.0000","0.0007",36080,"0.0007"
"www.congovision.com","CD","US",103216,"20.0000","0.0019",103216,"0.0019"
"www.deboutcongolais.info","CD","US",36760,"20.0000","0.0007",36760,"0.0007"
"www.digitalcongo.net","CD","US",3028,"20.0000","0.0001",3028,"0.0001"
"www.direct.cd","CD","US",136763,"20.0000","0.0025",136763,"0.0025"
"www.groupelavenir.org","CD","US",101259,"20.0000","0.0019",100399,"0.0019"
"www.kivumedia.com","CD","US",234153,"20.0000","0.0044",234153,"0.0044"
"www.laconscience.com","CD","FR",41167,"20.0000","0.0008",41167,"0.0008"
"www.laprosperiteonline.net","CD","CH",196018,"20.0000","0.0037",196018,"0.0037"
"www.lephareonline.net","CD","US",46424,"20.0000","0.0009",112835,"0.0021"
"www.lepotentielonline.com","CD","FR",317552,"20.0000","0.0059",317552,"0.0059"
"www.lesoftonline.net","CD","FR",44100,"20.0000","0.0008",44484,"0.0008"
"www.lobservateur.cd","CD","US",17745,"20.0000","0.0003",17745,"0.0003"
