"domain","cc","geoloc_cc",total_objects_size,"price1gb","price_mobile"
"angolanas.net","AO","US",362081,"21.3511","0.0072"
"economiaemercado.sapo.ao","AO","PT",751237,"21.3511","0.0149"
"jornaldeangola.sapo.ao","AO","PT",1054259,"21.3511","0.0210"
"jornaldeeconomia.sapo.ao","AO","PT",79213,"21.3511","0.0016"
"jornaldosdesportos.sapo.ao","AO","PT",56370,"21.3511","0.0011"
"jornalf8.net","AO","PT",2873393,"21.3511","0.0571"
"novagazeta.co.ao","AO","PT",446578,"21.3511","0.0089"
"opais.co.ao","AO","US",3267660,"21.3511","0.0650"
"radiodespertarangola.net","AO","US",659564,"21.3511","0.0131"
"tpa.sapo.ao","AO","PT",746564,"21.3511","0.0148"
"www.actsa.org","AO","GB",162454,"21.3511","0.0032"
"www.africa21digital.com","AO","BR",1700206,"21.3511","0.0338"
"www.africatoday.co.ao","AO","IT",556246,"21.3511","0.0111"
"www.angola24.net","AO","",270520,"21.3511","0.0054"
"www.angolaglobal.net","AO","CA",57024,"21.3511","0.0011"
"www.angonoticias.com","AO","PT",2661491,"21.3511","0.0529"
"www.club-k.net","AO","US",3026916,"21.3511","0.0602"
"www.expansao.co.ao","AO","US",5188790,"21.3511","0.1032"
"www.ibinda.com","AO","PT",8600,"21.3511","0.0002"
"www.mercado.co.ao","AO","GB",737625,"21.3511","0.0147"
"www.novojornal.co.ao","AO","US",644317,"21.3511","0.0128"
"www.portalangop.co.ao","AO","AO",877313,"21.3511","0.0174"
"www.portaldeangola.com","AO","US",1387120,"21.3511","0.0276"
"www.radioecclesia.org","AO","NL",296988,"21.3511","0.0059"
"www.redeangola.info","AO","US",5277,"21.3511","0.0001"
"www.rumo.co.ao","AO","GB",1411889,"21.3511","0.0281"
"www.sapo.ao","AO","PT",1416384,"21.3511","0.0282"
"www.voaportugues.com","AO","NL",14467406,"21.3511","0.2877"
"evasion.lepays.bf","BF","FR",1492874,"8.3799","0.0117"
"faso-actu.net","BF","FR",2476377,"8.3799","0.0193"
"lefaso.net","BF","FR",1441261,"8.3799","0.0112"
"lepays.bf","BF","FR",25688673,"8.3799","0.2005"
"mutationsbf.net","BF","NL",330010,"8.3799","0.0026"
"www.aib.bf","BF","FR",3073262,"8.3799","0.0240"
"www.aouaga.com","BF","US",496007,"8.3799","0.0039"
"www.courrierconfidentiel.net","BF","FR",244506,"8.3799","0.0019"
"www.fasopresse.net","BF","FR",201190,"8.3799","0.0016"
"www.lobservateur.bf","BF","US",833782,"8.3799","0.0065"
"www.rtb.bf","BF","FR",5779636,"8.3799","0.0451"
"www.sidwaya.bf","BF","FR",7129393,"8.3799","0.0556"
"burundi-24.com","BI","FR",152755,"3.5154","0.0005"
"ppbdi.com","BI","US",1346196,"3.5154","0.0044"
"www.arib.info","BI","FR",176290,"3.5154","0.0006"
"www.bonesha.bi","BI","DE",272645,"3.5154","0.0009"
"www.burundi-sites.com","BI","FR",614,"3.5154","0.0000"
"www.isanganiro.org","BI","CH",81403,"3.5154","0.0003"
"www.iwacu-burundi.org","BI","US",2310525,"3.5154","0.0076"
"www.netpress.bi","BI","BI",98631,"3.5154","0.0003"
"www.rpa.bi","BI","CH",1048804,"3.5154","0.0034"
"actualites.visages-du-benin.com","BJ","US",1133341,"8.3799","0.0088"
"beninsite.net","BJ","US",760988,"8.3799","0.0059"
"latribunedelacapitale.com","BJ","US",270727,"8.3799","0.0021"
"lautrefraternite.com","BJ","US",287024,"8.3799","0.0022"
"leconfrere.info","BJ","FR",12093,"8.3799","0.0001"
"levenementprecis.com","BJ","US",1027614,"8.3799","0.0080"
"www.24haubenin.info","BJ","FR",210748,"8.3799","0.0016"
"www.acotonou.com","BJ","US",437716,"8.3799","0.0034"
"www.actubenin.com","BJ","US",1425314,"8.3799","0.0111"
"www.autrequotidien.com","BJ","US",330010,"8.3799","0.0026"
"www.benin24tv.com","BJ","US",123189,"8.3799","0.0010"
"www.benininfo.com","BJ","US",653397,"8.3799","0.0051"
"www.fraternitebj.info","BJ","FR",210747,"8.3799","0.0016"
"www.golfemediaonline.com","BJ","US",820720,"8.3799","0.0064"
"www.icibenin.com","BJ","CA",3084885,"8.3799","0.0241"
"www.journal-adjinakou-benin.info","BJ","US",1314638,"8.3799","0.0103"
"www.lanationbenin.info","BJ","FR",154192,"8.3799","0.0012"
"www.lanouvelletribune.info","BJ","US",1062713,"8.3799","0.0083"
"www.lapressedujour.net","BJ","US",218756,"8.3799","0.0017"
"www.laraignee.org","BJ","US",1861242,"8.3799","0.0145"
"www.les4verites.info","BJ","FR",234824,"8.3799","0.0018"
"www.ortb.info","BJ","US",1755052,"8.3799","0.0137"
"www.quotidienlematin.com","BJ","US",6610,"8.3799","0.0001"
"news.google.com","BW","US",602914,"33.5159","0.0188"
"www.botswanaguardian.co.bw","BW","BG",2135937,"33.5159","0.0667"
"www.echo.co.bw","BW","BW",124391,"33.5159","0.0039"
"www.gabzfm.com","BW","US",6722,"33.5159","0.0002"
"www.ngamitimes.com","BW","US",93636,"33.5159","0.0029"
"www.sundaystandard.info","BW","BW",2155816,"33.5159","0.0673"
"www.thepatriot.co.bw","BW","ZA",131424,"33.5159","0.0041"
"www.thevoicebw.com","BW","US",1592616,"33.5159","0.0497"
"7sur7.cd","CD","US",2696445,"20.0000","0.0502"
"acpcongo.com","CD","US",1057964,"20.0000","0.0197"
"congopanorama.info","CD","JP",110508,"20.0000","0.0021"
"radiookapi.net","CD","US",1290152,"20.0000","0.0240"
"www.business-et-finances.com","CD","CA",1485065,"20.0000","0.0277"
"www.congoindependant.com","CD","DK",2489727,"20.0000","0.0464"
"www.congolais.fr","CD","FR",187167,"20.0000","0.0035"
"www.congoplanet.com","CD","US",1227085,"20.0000","0.0229"
"www.congoplanete.com","CD","US",1332126,"20.0000","0.0248"
"www.congotribune.com","CD","JP",1705812,"20.0000","0.0318"
"www.congovision.com","CD","US",147516,"20.0000","0.0027"
"www.deboutcongolais.info","CD","US",8330,"20.0000","0.0002"
"www.digitalcongo.net","CD","US",219369,"20.0000","0.0041"
"www.direct.cd","CD","US",6240285,"20.0000","0.1162"
"www.groupelavenir.org","CD","US",6154666,"20.0000","0.1146"
"www.kivumedia.com","CD","US",1793116,"20.0000","0.0334"
"www.laconscience.com","CD","FR",448346,"20.0000","0.0084"
"www.laprosperiteonline.net","CD","CH",1172468,"20.0000","0.0218"
"www.lephareonline.net","CD","US",667973,"20.0000","0.0124"
"www.lepotentielonline.com","CD","FR",743536,"20.0000","0.0138"
"www.lesoftonline.net","CD","FR",757872,"20.0000","0.0141"
"www.lobservateur.cd","CD","US",192186,"20.0000","0.0036"
"www.mediacongo.net","CD","CH",129859,"20.0000","0.0024"
"abangui.com","CF","US",352096,"12.5699","0.0041"
"centrafrique-presse.over-blog.com","CF","FR",668751,"12.5699","0.0078"
"www.journaldebangui.com","CF","FR",350584,"12.5699","0.0041"
"www.lanouvellecentrafrique.info","CF","US",808025,"12.5699","0.0095"
"www.radiondekeluka.org","CF","CH",174373,"12.5699","0.0020"
"congo-liberty.com","CG","US",419904,"11.2231","0.0044"
"www.adiac-congo.com","CG","FR",2079613,"11.2231","0.0217"
"www.congo-site.com","CG","FR",541623,"11.2231","0.0057"
"www.congopage.com","CG","US",470151,"11.2231","0.0049"
"www.dac-presse.com","CG","DE",4880940,"11.2231","0.0510"
"www.journaldebrazza.com","CG","FR",2051275,"11.2231","0.0214"
"www.lasemaineafricaine.net","CG","FR",2223300,"11.2231","0.0232"
"www.lesdepechesdebrazzaville.fr","CG","FR",2866574,"11.2231","0.0300"
"www.starducongo.com","CG","FR",2248318,"11.2231","0.0235"
"www.zenga-mambu.com","CG","CH",1406048,"11.2231","0.0147"
"abidjantv.net","CI","CA",2677731,"12.9735","0.0324"
"www.abidjan.net","CI","US",624229,"12.9735","0.0075"
"www.afrik53.com","CI","FR",1169792,"12.9735","0.0141"
"www.aip.ci","CI","FR",2008515,"12.9735","0.0243"
"www.atoo.ci","CI","FR",1905741,"12.9735","0.0230"
"www.connectionivoirienne.net","CI","NL",2108087,"12.9735","0.0255"
"www.fratmat.info","CI","US",1482893,"12.9735","0.0179"
"www.gbich.com","CI","FR",213590,"12.9735","0.0026"
"www.imatin.net","CI","DE",2514413,"12.9735","0.0304"
"www.ivoireactu.net","CI","FR",93868,"12.9735","0.0011"
"www.ivoirediaspo.net","CI","GB",1057964,"12.9735","0.0128"
"www.ladepechedabidjan.info","CI","FR",1916969,"12.9735","0.0232"
"www.lenouveaureveil.com","CI","US",55423,"12.9735","0.0007"
"www.lepatriote.net","CI","US",836,"12.9735","0.0000"
"www.linfodrome.com","CI","FR",554119,"12.9735","0.0067"
"www.notrevoie.com","CI","US",6800,"12.9735","0.0001"
"www.rti.ci","CI","FR",62388,"12.9735","0.0008"
"www.rumeursdabidjan.net","CI","FR",804680,"12.9735","0.0097"
"www.sport-ivoire.ci","CI","US",4928993,"12.9735","0.0596"
"bamendaonline.net","CM","US",240395,"9.4274","0.0021"
"cameroonjournal.com","CM","US",11061725,"9.4274","0.0971"
"cameroonwebnews.com","CM","US",66349,"9.4274","0.0006"
"crtv.cm","CM","CM",2971222,"9.4274","0.0261"
"edennewspaper.org","CM","AU",329991,"9.4274","0.0029"
"journal.rdpcpdm.cm","CM","US",2028082,"9.4274","0.0178"
"newsducamer.com","CM","US",148498,"9.4274","0.0013"
"quotidienlemessager.net","CM","US",9329,"9.4274","0.0001"
"www.africapresse.com","CM","US",1202763,"9.4274","0.0106"
"www.bonaberi.com","CM","FR",528618,"9.4274","0.0046"
"www.camer.be","CM","DE",5247033,"9.4274","0.0461"
"www.cameroon-info.net","CM","US",626348,"9.4274","0.0055"
"www.cameroon-tribune.cm","CM","US",155869,"9.4274","0.0014"
"www.cameroononline.org","CM","US",1298788,"9.4274","0.0114"
"www.cameroonpostline.com","CM","US",410256,"9.4274","0.0036"
"www.cameroonweb.com","CM","US",2271523,"9.4274","0.0199"
"www.cameroun-online.com","CM","IT",1890429,"9.4274","0.0166"
"www.cameroun24.net","CM","CA",14144,"9.4274","0.0001"
"www.camerounactu.net","CM","BG",110582,"9.4274","0.0010"
"www.camerounlink.net","CM","DE",13271,"9.4274","0.0001"
"www.camnews24.com","CM","DE",69096,"9.4274","0.0006"
"www.journalducameroun.com","CM","FR",1611711,"9.4274","0.0142"
"www.lanouvelleexpression.info","CM","US",135774,"9.4274","0.0012"
"www.leffortcamerounais.com","CM","US",1951210,"9.4274","0.0171"
"www.leffortcamerounais.info","CM","US",1098774,"9.4274","0.0096"
"www.postwatchmagazine.com","CM","US",1400615,"9.4274","0.0123"
"liberal.sapo.cv","CV","PT",15073197,"5.2879","0.0742"
"noticiasdonorte.publ.cv","CV","US",7633969,"5.2879","0.0376"
"www.alfa.cv","CV","US",1770,"5.2879","0.0000"
"www.bravanews.com","CV","US",85578,"5.2879","0.0004"
"www.cabodiario.com","CV","GB",49129,"5.2879","0.0002"
"www.caboverdeonline.com","CV","US",452854,"5.2879","0.0022"
"www.expressodasilhas.sapo.cv","CV","GB",2378809,"5.2879","0.0117"
"www.rtc.cv","CV","PT",3712094,"5.2879","0.0183"
"www.sapo.cv","CV","PT",1257201,"5.2879","0.0062"
"ain-oulmene.com","DZ","FR",186345,"7.5817","0.0013"
"akhbarachark.dz","DZ","FR",2027277,"7.5817","0.0143"
"algerienetwork.com","DZ","US",1846665,"7.5817","0.0130"
"bel-abbes.info","DZ","FR",684975,"7.5817","0.0048"
"echosdesidibelabbes.info","DZ","GB",538062,"7.5817","0.0038"
"el-youm.info","DZ","FR",1280381,"7.5817","0.0090"
"elmassar-ar.com","DZ","FR",2004770,"7.5817","0.0142"
"elraaed.com","DZ","FR",4410196,"7.5817","0.0311"
"elwaha-dz.com","DZ","GB",381301,"7.5817","0.0027"
"elwatani.com","DZ","FR",689092,"7.5817","0.0049"
"kabyleuniversel.com","DZ","US",607079,"7.5817","0.0043"
"laghouatinfo.net","DZ","FR",600701,"7.5817","0.0042"
"lavoixdesidibelabbes.info","DZ","FR",1120335,"7.5817","0.0079"
"lechiffredaffaires.net","DZ","FR",244440,"7.5817","0.0017"
"lecitoyendz.com","DZ","US",146671,"7.5817","0.0010"
"lecourrier-dalgerie.com","DZ","FR",930343,"7.5817","0.0066"
"lejournaldaffaire.com","DZ","FR",1933054,"7.5817","0.0136"
"lequotidienalgerie.org","DZ","CA",1012966,"7.5817","0.0072"
"ouest-info.org","DZ","FR",28856,"7.5817","0.0002"
"sawt-alahrar.net","DZ","DE",17915,"7.5817","0.0001"
"sawtdjelfa.com","DZ","FR",482655,"7.5817","0.0034"
"sport.elkhabar.com","DZ","US",8961427,"7.5817","0.0633"
"sport.ennaharonline.com","DZ","FR",590669,"7.5817","0.0042"
"wakteldjazair.com","DZ","FR",3387813,"7.5817","0.0239"
"www.aboutalgeria.com","DZ","US",353686,"7.5817","0.0025"
"www.actuel-dz.com","DZ","FR",371199,"7.5817","0.0026"
"www.akhbarelyoum.dz","DZ","FR",237273,"7.5817","0.0017"
"www.akhersaa-dz.com","DZ","FR",1975222,"7.5817","0.0139"
"www.al-fadjr.com","DZ","FR",8769084,"7.5817","0.0619"
"www.albassair.org","DZ","DE",15068,"7.5817","0.0001"
"www.alger-republicain.com","DZ","FR",54844,"7.5817","0.0004"
"www.algerep.com","DZ","FR",54844,"7.5817","0.0004"
"www.algeria-newspapers.com","DZ","US",7781670,"7.5817","0.0549"
"www.algeriatimes.net","DZ","US",4326842,"7.5817","0.0306"
"www.algerie-focus.com","DZ","DE",1642666,"7.5817","0.0116"
"www.algerie1.com","DZ","US",2389619,"7.5817","0.0169"
"www.algerie360.com","DZ","US",1366312,"7.5817","0.0096"
"www.algerieconfluences.com","DZ","US",273412,"7.5817","0.0019"
"www.algeriepatriotique.com","DZ","US",1962752,"7.5817","0.0139"
"www.annabacity.net","DZ","FR",855375,"7.5817","0.0060"
"www.annasronline.com","DZ","FR",2050716,"7.5817","0.0145"
"www.bejaiainfo.com","DZ","US",1957384,"7.5817","0.0138"
"www.blida-aps.dz","DZ","DZ",12256,"7.5817","0.0001"
"www.carrefourdalgerie.com","DZ","DZ",350220,"7.5817","0.0025"
"www.competition.dz","DZ","FR",4208844,"7.5817","0.0297"
"www.constantine-aps.dz","DZ","DZ",36768,"7.5817","0.0003"
"www.depechedekabylie.com","DZ","GB",353721,"7.5817","0.0025"
"www.djazairess.com","DZ","US",88229,"7.5817","0.0006"
"www.dzfoot.com","DZ","US",331962,"7.5817","0.0023"
"www.echoroukonline.com","DZ","FR",10579123,"7.5817","0.0747"
"www.elbilad.net","DZ","US",203136,"7.5817","0.0014"
"www.eldjoumhouria.dz","DZ","US",17841,"7.5817","0.0001"
"www.elheddaf.com","DZ","US",661227,"7.5817","0.0047"
"www.elkhabar.com","DZ","US",86752,"7.5817","0.0006"
"www.elmoudjahid.com","DZ","US",1362435,"7.5817","0.0096"
"www.elwatan.com","DZ","FR",442762,"7.5817","0.0031"
"www.ennaharonline.com","DZ","FR",304359,"7.5817","0.0021"
"www.hebdoimmobilier-dz.com","DZ","US",868,"7.5817","0.0000"
"www.impact24.info","DZ","US",794141,"7.5817","0.0056"
"www.infoconstantine.com","DZ","AU",273431,"7.5817","0.0019"
"www.jeune-independant.net","DZ","US",413990,"7.5817","0.0029"
"www.jijel-echo.com","DZ","GB",427744,"7.5817","0.0030"
"www.jijel.info","DZ","FR",1651486,"7.5817","0.0117"
"www.kabyle.com","DZ","US",86168,"7.5817","0.0006"
"www.kawalisse.com","DZ","FR",97869,"7.5817","0.0007"
"www.lactualite-dz.info","DZ","US",362081,"7.5817","0.0026"
"www.lautomarche.com","DZ","CH",3324781,"7.5817","0.0235"
"www.lebuteur.com","DZ","US",1408243,"7.5817","0.0099"
"www.lejourdalgerie.com","DZ","FR",38011,"7.5817","0.0003"
"www.lematindz.net","DZ","GB",158616,"7.5817","0.0011"
"www.lequotidien-oran.com","DZ","FR",47418,"7.5817","0.0003"
"www.lesoirdalgerie.com","DZ","NL",22678,"7.5817","0.0002"
"www.lestrepublicain.com","DZ","US",344486,"7.5817","0.0024"
"www.letempsdz.com","DZ","FR",64367,"7.5817","0.0005"
"www.liberte-algerie.com","DZ","CA",548241,"7.5817","0.0039"
"www.livenewsalgerie.com","DZ","BG",1241167,"7.5817","0.0088"
"www.lnr-dz.com","DZ","FR",1839899,"7.5817","0.0130"
"www.mostaganem-aujourdhui.com","DZ","FR",1488907,"7.5817","0.0105"
"www.newpressphoto.com","DZ","FR",765182,"7.5817","0.0054"
"www.oran-aps.dz","DZ","DZ",12256,"7.5817","0.0001"
"www.oranais.com","DZ","FR",5523836,"7.5817","0.0390"
"www.ouargla-aps.dz","DZ","DZ",12256,"7.5817","0.0001"
"www.ouarsenis.com","DZ","FR",1293119,"7.5817","0.0091"
"www.ouestribune-dz.com","DZ","FR",1090419,"7.5817","0.0077"
"www.planetesport.dz","DZ","FR",107550,"7.5817","0.0008"
"www.presse-dz.com","DZ","US",276054,"7.5817","0.0019"
"www.reflexiondz.net","DZ","FR",661783,"7.5817","0.0047"
"www.reporters.dz","DZ","FR",871077,"7.5817","0.0062"
"www.setif.info","DZ","CH",368462,"7.5817","0.0026"
"www.setif.net","DZ","FR",2646,"7.5817","0.0000"
"www.setifnews.com","DZ","US",2127,"7.5817","0.0000"
"www.siwel.info","DZ","CH",6830342,"7.5817","0.0482"
"www.souk-ahras.info","DZ","DE",29466,"7.5817","0.0002"
"www.tamurt.info","DZ","DE",1987216,"7.5817","0.0140"
"www.transactiondalgerie.com","DZ","CH",1551564,"7.5817","0.0110"
"www.tribunelecteurs.com","DZ","GB",864132,"7.5817","0.0061"
"www.tsa-algerie.com","DZ","US",249639,"7.5817","0.0018"
"akhbarelyom.com","EG","US",38579,"1.6968","0.0001"
"egypttoday.com","EG","US",39856,"1.6968","0.0001"
"hebdo.ahram.org.eg","EG","EG",319351,"1.6968","0.0005"
"mubasher-misr.aljazeera.net","EG","DE",97602,"1.6968","0.0002"
"new.elfagr.org","EG","US",17742,"1.6968","0.0000"
"news.google.com","EG","US",602914,"1.6968","0.0010"
"ontveg.com","EG","US",7034599,"1.6968","0.0111"
"tahrirnews.com","EG","US",1875003,"1.6968","0.0030"
"weekly.ahram.org.eg","EG","EG",2304073,"1.6968","0.0036"
"www.24hnewspaper.net","EG","US",1403,"1.6968","0.0000"
"www.ahram.org.eg","EG","EG",1564934,"1.6968","0.0025"
"www.almasryalyoum.com","EG","US",684461,"1.6968","0.0011"
"www.almessa.net.eg","EG","US",75476,"1.6968","0.0001"
"www.alwafd.org","EG","US",2424174,"1.6968","0.0038"
"www.alwatanalarabi.com","EG","US",1477747,"1.6968","0.0023"
"www.cairolive.com","EG","US",144125,"1.6968","0.0002"
"www.cbc-eg.com","EG","US",105943,"1.6968","0.0002"
"www.dailynewsegypt.com","EG","US",9898630,"1.6968","0.0156"
"www.dostor.org","EG","US",2731129,"1.6968","0.0043"
"www.egynews.net","EG","NL",4332607,"1.6968","0.0068"
"www.egypt-elections.com","EG","US",1770,"1.6968","0.0000"
"www.egyptindependent.com","EG","US",1480560,"1.6968","0.0023"
"www.lepetitjournal.com","EG","FR",7187231,"1.6968","0.0114"
"www.madamasr.com","EG","US",347690,"1.6968","0.0005"
"www.masralarabia.com","EG","FR",4001335,"1.6968","0.0063"
"www.niletc.tv","EG","US",177878,"1.6968","0.0003"
"www.shorouknews.com","EG","US",1565815,"1.6968","0.0025"
"www.sis.gov.eg","EG","EG",16202,"1.6968","0.0000"
"www.wataninet.com","EG","US",5721588,"1.6968","0.0090"
"www.youm7.com","EG","US",2110405,"1.6968","0.0033"
"addisfortune.net","ET","US",932355,"6.2018","0.0054"
"cyberzena.com","ET","DE",273431,"6.2018","0.0016"
"ecadforum.com","ET","US",1510663,"6.2018","0.0087"
"ectv.org","ET","US",2665091,"6.2018","0.0154"
"ethiopiaforums.com","ET","US",1122751,"6.2018","0.0065"
"ethiopianreview.com","ET","FR",226528,"6.2018","0.0013"
"news.google.com","ET","US",602914,"6.2018","0.0035"
"www.addisadmassnews.com","ET","US",717579,"6.2018","0.0041"
"www.awrambatimes.com","ET","US",2211675,"6.2018","0.0128"
"www.cyberethiopia.com","ET","BG",3131964,"6.2018","0.0181"
"www.ena.gov.et","ET","ET",4415294,"6.2018","0.0255"
"www.ertagov.com","ET","JP",255534,"6.2018","0.0015"
"www.ethiomedia.com","ET","US",80386,"6.2018","0.0005"
"www.ethionewsdirect.com","ET","US",2776115,"6.2018","0.0160"
"www.ethioobserver.net","ET","US",3598401,"6.2018","0.0208"
"www.ethiopian-news.com","ET","US",2545905,"6.2018","0.0147"
"www.ethiopians.com","ET","US",177513,"6.2018","0.0010"
"www.lesnouvelles.org","ET","US",330010,"6.2018","0.0019"
"www.maledatimes.com","ET","US",745131,"6.2018","0.0043"
"www.nazret.com","ET","BG",2538261,"6.2018","0.0147"
"www.newbusinessethiopia.com","ET","US",1043834,"6.2018","0.0060"
"www.waltainfo.com","ET","US",1851104,"6.2018","0.0107"
"www.zehabesha.com","ET","US",1056400,"6.2018","0.0061"
"gabonreview.com","GA","FR",3313810,"11.6720","0.0360"
"www.agpgabon.ga","GA","FR",1700,"11.6720","0.0000"
"www.gabonactu.com","GA","CH",3154958,"11.6720","0.0343"
"www.gaboneco.com","GA","FR",144915,"11.6720","0.0016"
"www.gabonlibre.com","GA","FR",833103,"11.6720","0.0091"
"www.infosplusgabon.com","GA","US",111777,"11.6720","0.0012"
"www.union.sonapresse.com","GA","FR",6603332,"11.6720","0.0718"
"buzzghana.com","GH","US",559694,"5.0021","0.0026"
"exposeghana.com","GH","US",538966,"5.0021","0.0025"
"ghananewslink.com","GH","US",15371,"5.0021","0.0001"
"ghheadlines.com","GH","DE",3475611,"5.0021","0.0162"
"happyghana.com","GH","US",5221616,"5.0021","0.0243"
"kumasimail.com","GH","CH",1404,"5.0021","0.0000"
"news.google.com","GH","US",602914,"5.0021","0.0028"
"thebftonline.com","GH","US",2921874,"5.0021","0.0136"
"theheraldghana.com","GH","US",1139363,"5.0021","0.0053"
"thenewcrusadingguideonline.com","GH","US",2267356,"5.0021","0.0106"
"tv3network.com","GH","US",2669799,"5.0021","0.0124"
"vibeghana.com","GH","US",789155,"5.0021","0.0037"
"wn.com","GH","GB",1559260,"5.0021","0.0073"
"www.allghananews.com","GH","US",47362,"5.0021","0.0002"
"www.citifmonline.com","GH","US",5715137,"5.0021","0.0266"
"www.dailyguideghana.com","GH","DE",3710676,"5.0021","0.0173"
"www.gbcghana.com","GH","US",45189,"5.0021","0.0002"
"www.ghana.gov.gh","GH","GH",203635,"5.0021","0.0009"
"www.ghanabusinessnews.com","GH","US",6775030,"5.0021","0.0316"
"www.ghanadot.com","GH","US",99467,"5.0021","0.0005"
"www.ghanaiantimes.com.gh","GH","US",9536477,"5.0021","0.0444"
