"domain",mobile_page_size,desktop_page_size,objects_total,diff_mobile,diff_desktop
"247ureports.com",78442,78442,1133763,-1055321,-1055321
"263chat.com",243528,243510,1227235,-983707,-983725
"7sur7.cd",303144,303144,2696445,-2393301,-2393301
"abangui.com",52725,52725,352096,-299371,-299371
"abcafricanews.com",91168,91150,1565943,-1474775,-1474793
"abidjantv.net",357685,357678,2677731,-2320046,-2320053
"abujavoice.com",23785,23143,9329,14456,13814
"acpcongo.com",113181,113181,1057964,-944783,-944783
"actualites.visages-du-benin.com",109710,109710,1133341,-1023631,-1023631
"addisfortune.net",11234,72560,932355,-921121,-859795
"africanreporter.co.za",125084,284838,1394301,-1269217,-1109463
"africansearchlight.com",20978,20978,469328,-448350,-448350
"ain-oulmene.com",41495,150175,186345,-144850,-36170
"akhbarachark.dz",266092,266092,2027277,-1761185,-1761185
"akhbarelyom.com",140570,99995,38579,101991,61416
"albayane.press.ma",126524,126524,28285668,-28159144,-28159144
"albertonrecord.co.za",125850,288300,1938777,-1812927,-1650477
"alexnews.co.za",106785,279804,1272885,-1166100,-993081
"algerienetwork.com",232029,232029,1846665,-1614636,-1614636
"allsbc.com",51644,51644,1025089,-973445,-973445
"almaugif.com",218412,218412,19256,199156,199156
"alnabaa.tv",58999,59174,1157528,-1098529,-1098354
"aminata.com",266299,266299,3972387,-3706088,-3706088
"angolanas.net",6808,6264,362081,-355273,-355817
"ar.leaders.com.tn",61005,59467,43,60962,59424
"assudan.net",153109,153109,1149646,-996537,-996537
"atoptogo.blogspot.com",31594,28258,173081,-141487,-144823
"awate.com",93228,93228,1012981,-919753,-919753
"awoko.org",34704,34704,466055,-431351,-431351
"bamendaonline.net",6857,6495,240395,-233538,-233900
"bayanealyaoume.press.ma",379757,540510,102768162,-102388405,-102227652
"bbstv.ug",63797,63796,2681207,-2617410,-2617411
"bedfordviewedenvalenews.co.za",125530,268275,1575230,-1449700,-1306955
"bel-abbes.info",4442,171436,684975,-680533,-513539
"beninsite.net",117663,117686,760988,-643325,-643302
"benonicitytimes.co.za",111766,291721,1474043,-1362277,-1182322
"bereamail.co.za",105849,276650,1636272,-1530423,-1359622
"bizwatchnigeria.ng",263838,263838,1662235,-1398397,-1398397
"blanknewsonline.wordpress.com",164030,166978,1759053,-1595023,-1592075
"boksburgadvertiser.co.za",111327,298218,2383537,-2272210,-2085319
"brakpanherald.co.za",109681,279509,1503251,-1393570,-1223742
"breezefmchipata.com",36665,36658,19190938,-19154273,-19154280
"bulawayo24.com",62475,82171,499599,-437124,-417428
"burundi-24.com",17808,17808,152755,-134947,-134947
"businessdayonline.com",81733,146812,2877137,-2795404,-2730325
