"cc3","cc","domain",rtt,remote
"AGO","AO","angolanas.net",382,1
"AGO","AO","angolanas.net",276,1
"AGO","AO","angolanas.net",274,1
"AGO","AO","angolanas.net",376,1
"AGO","AO","angolanas.net",270,1
"AGO","AO","angolanas.net",269,1
"AGO","AO","angolanas.net",372,1
"AGO","AO","angolanas.net",260,1
"AGO","AO","angolanas.net",269,1
"AGO","AO","angolanas.net",372,1
"AGO","AO","angolanas.net",261,1
"AGO","AO","angolanas.net",269,1
"AGO","AO","angolanas.net",371,1
"AGO","AO","angolanas.net",261,1
"AGO","AO","angolanas.net",292,1
"AGO","AO","economiaemercado.sapo.ao",276,1
"AGO","AO","economiaemercado.sapo.ao",136,1
"AGO","AO","economiaemercado.sapo.ao",174,1
"AGO","AO","economiaemercado.sapo.ao",293,1
"AGO","AO","economiaemercado.sapo.ao",137,1
"AGO","AO","economiaemercado.sapo.ao",174,1
"AGO","AO","economiaemercado.sapo.ao",275,1
"AGO","AO","economiaemercado.sapo.ao",131,1
"AGO","AO","economiaemercado.sapo.ao",174,1
"AGO","AO","economiaemercado.sapo.ao",275,1
"AGO","AO","economiaemercado.sapo.ao",131,1
"AGO","AO","economiaemercado.sapo.ao",173,1
"AGO","AO","economiaemercado.sapo.ao",274,1
"AGO","AO","economiaemercado.sapo.ao",131,1
"AGO","AO","economiaemercado.sapo.ao",197,1
"AGO","AO","jornaldeangola.sapo.ao",276,1
"AGO","AO","jornaldeangola.sapo.ao",136,1
"AGO","AO","jornaldeangola.sapo.ao",174,1
"AGO","AO","jornaldeangola.sapo.ao",307,1
"AGO","AO","jornaldeangola.sapo.ao",173,1
"AGO","AO","jornaldeangola.sapo.ao",275,1
"AGO","AO","jornaldeangola.sapo.ao",130,1
"AGO","AO","jornaldeangola.sapo.ao",173,1
"AGO","AO","jornaldeangola.sapo.ao",275,1
"AGO","AO","jornaldeangola.sapo.ao",131,1
"AGO","AO","jornaldeangola.sapo.ao",173,1
"AGO","AO","jornaldeangola.sapo.ao",274,1
"AGO","AO","jornaldeangola.sapo.ao",131,1
"AGO","AO","jornaldeangola.sapo.ao",197,1
"AGO","AO","jornaldeeconomia.sapo.ao",275,1
"AGO","AO","jornaldeeconomia.sapo.ao",136,1
"AGO","AO","jornaldeeconomia.sapo.ao",174,1
"AGO","AO","jornaldeeconomia.sapo.ao",307,1
"AGO","AO","jornaldeeconomia.sapo.ao",174,1
"AGO","AO","jornaldeeconomia.sapo.ao",275,1
"AGO","AO","jornaldeeconomia.sapo.ao",131,1
"AGO","AO","jornaldeeconomia.sapo.ao",173,1
"AGO","AO","jornaldeeconomia.sapo.ao",275,1
"AGO","AO","jornaldeeconomia.sapo.ao",131,1
"AGO","AO","jornaldeeconomia.sapo.ao",173,1
"AGO","AO","jornaldeeconomia.sapo.ao",274,1
"AGO","AO","jornaldeeconomia.sapo.ao",131,1
"AGO","AO","jornaldeeconomia.sapo.ao",197,1
"AGO","AO","jornaldosdesportos.sapo.ao",275,1
"AGO","AO","jornaldosdesportos.sapo.ao",136,1
"AGO","AO","jornaldosdesportos.sapo.ao",174,1
"AGO","AO","jornaldosdesportos.sapo.ao",319,1
"AGO","AO","jornaldosdesportos.sapo.ao",176,1
"AGO","AO","jornaldosdesportos.sapo.ao",275,1
"AGO","AO","jornaldosdesportos.sapo.ao",130,1
"AGO","AO","jornaldosdesportos.sapo.ao",173,1
"AGO","AO","jornaldosdesportos.sapo.ao",275,1
"AGO","AO","jornaldosdesportos.sapo.ao",130,1
"AGO","AO","jornaldosdesportos.sapo.ao",173,1
"AGO","AO","jornaldosdesportos.sapo.ao",274,1
"AGO","AO","jornaldosdesportos.sapo.ao",130,1
"AGO","AO","jornaldosdesportos.sapo.ao",197,1
"AGO","AO","jornalf8.net",264,1
"AGO","AO","jornalf8.net",108,1
"AGO","AO","jornalf8.net",107,1
"AGO","AO","jornalf8.net",264,1
"AGO","AO","jornalf8.net",108,1
"AGO","AO","jornalf8.net",107,1
"AGO","AO","jornalf8.net",264,1
"AGO","AO","jornalf8.net",108,1
"AGO","AO","jornalf8.net",107,1
"AGO","AO","jornalf8.net",268,1
"AGO","AO","jornalf8.net",132,1
"AGO","AO","jornalf8.net",107,1
"AGO","AO","novagazeta.co.ao",282,1
"AGO","AO","novagazeta.co.ao",104,1
"AGO","AO","novagazeta.co.ao",102,1
"AGO","AO","novagazeta.co.ao",282,1
"AGO","AO","novagazeta.co.ao",103,1
