"cc","count","cc3","percentage"
"AO",1,"AGO",0.0699
"AT",1,"AUT",0.0699
"AU",10,"AUS",0.6993
"BE",1,"BEL",0.0699
"BF",2,"BFA",0.1399
"BG",25,"BGR",1.7483
"BI",1,"BDI",0.0699
"BR",2,"BRA",0.1399
"BW",4,"BWA",0.2797
"CA",27,"CAN",1.8881
"CH",25,"CHE",1.7483
"CM",1,"CMR",0.0699
"CZ",1,"CZE",0.0699
"DE",57,"DEU",3.9860
"DJ",2,"DJI",0.1399
"DK",8,"DNK",0.5594
"DZ",9,"DZA",0.6294
"EE",1,"EST",0.0699
"EG",5,"EGY",0.3497
"ES",1,"ESP",0.0699
"ET",1,"ETH",0.0699
"EU",5,NULL,0.3497
"FR",188,"FRA",13.1469
"GB",60,"GBR",4.1958
"GH",1,"GHA",0.0699
"GM",1,"GMB",0.0699
"IE",6,"IRL",0.4196
"IL",1,"ISR",0.0699
"IN",3,"IND",0.2098
"IT",7,"ITA",0.4895
"JO",1,"JOR",0.0699
"JP",9,"JPN",0.6294
"KE",1,"KEN",0.0699
"LS",2,"LSO",0.1399
"LT",1,"LTU",0.0699
"LY",2,"LBY",0.1399
"MA",6,"MAR",0.4196
"MG",1,"MDG",0.0699
"ML",1,"MLI",0.0699
"MR",1,"MRT",0.0699
"MU",3,"MUS",0.2098
"MW",2,"MWI",0.1399
"MY",1,"MYS",0.0699
"MZ",3,"MOZ",0.2098
"NA",2,"NAM",0.1399
"NL",31,"NLD",2.1678
"NO",1,"NOR",0.0699
"PT",16,"PRT",1.1189
"RW",1,"RWA",0.0699
"SC",1,"SYC",0.0699
"SD",1,"SDN",0.0699
"SE",5,"SWE",0.3497
"SG",6,"SGP",0.4196
"SO",1,"SOM",0.0699
"SZ",2,"SWZ",0.1399
"TG",1,"TGO",0.0699
"TN",3,"TUN",0.2098
"TZ",1,"TZA",0.0699
"UA",1,"UKR",0.0699
"US",774,"USA",54.1259
"VG",9,"VGB",0.6294
"ZA",84,"ZAF",5.8741
"ZM",2,"ZMB",0.1399
