"domain","cc","geoloc_cc",size_mobile,"price_mobile",size_desktop,"price_desktop"
"247ureports.com","NG","US-AZ",78442,"0.0003",78442,"0.0003"
"263chat.com","ZW","US-UT",243528,"0.0072",243510,"0.0072"
"7sur7.cd","CD","US-CO",303144,"0.0056",303144,"0.0056"
"abangui.com","CF","US",52725,"0.0006",52725,"0.0006"
"abcafricanews.com","UG","US-UT",91168,"0.0006",91150,"0.0006"
"abidjantv.net","CI","CA-QC",357685,"0.0043",357678,"0.0043"
"abujavoice.com","NG","US-TX",23785,"0.0001",23143,"0.0001"
"acpcongo.com","CD","US-NJ",113181,"0.0021",113181,"0.0021"
"actualites.visages-du-benin.com","BJ","US-CA",109710,"0.0009",109710,"0.0009"
"addisfortune.net","ET","US-CA",11234,"0.0001",72560,"0.0004"
"africanreporter.co.za","ZA","US",125084,"0.0013",284838,"0.0029"
"africansearchlight.com","NG","US-AZ",20978,"0.0001",20978,"0.0001"
"ain-oulmene.com","DZ","FR",41495,"0.0003",150175,"0.0011"
"akhbarachark.dz","DZ","FR",266092,"0.0019",266092,"0.0019"
"akhbarelyom.com","EG","US",140570,"0.0002",99995,"0.0002"
"albayane.press.ma","MA","MA",126524,"0.0005",126524,"0.0005"
"albertonrecord.co.za","ZA","US",125850,"0.0013",288300,"0.0030"
"alexnews.co.za","ZA","US",106785,"0.0011",279804,"0.0029"
"algerienetwork.com","DZ","US-UT",232029,"0.0016",232029,"0.0016"
"allsbc.com","SO","US-TX",51644,NULL,51644,NULL
"almaugif.com","SS","US-CA",218412,"0.0013",218412,"0.0013"
"alnabaa.tv","LY","US",58999,"0.0010",59174,"0.0010"
"aminata.com","GQ","US-NJ",266299,NULL,266299,NULL
"angolanas.net","AO","US-WA",6808,"0.0001",6264,"0.0001"
"ar.leaders.com.tn","TN","FR",61005,"0.0002",59467,"0.0002"
"assudan.net","SD","US-CA",153109,"0.0008",153109,"0.0008"
"atoptogo.blogspot.com","TG","US-CA",31594,"0.0003",28258,"0.0002"
"awate.com","ER","US-CA",93228,NULL,93228,NULL
"awoko.org","SL","US-UT",34704,"0.0003",34704,"0.0003"
"bamendaonline.net","CM","US-WA",6857,"0.0001",6495,"0.0001"
"bayanealyaoume.press.ma","MA","MA",379757,"0.0016",540510,"0.0023"
"bbstv.ug","UG","US-VA",63797,"0.0004",63796,"0.0004"
"bedfordviewedenvalenews.co.za","ZA","US",125530,"0.0013",268275,"0.0028"
"bel-abbes.info","DZ","FR",4442,"0.0000",171436,"0.0012"
"beninsite.net","BJ","US-AZ",117663,"0.0009",117686,"0.0009"
"benonicitytimes.co.za","ZA","US",111766,"0.0012",291721,"0.0030"
"bereamail.co.za","ZA","US",105849,"0.0011",276650,"0.0029"
"bizwatchnigeria.ng","NG","US-NJ",263838,"0.0009",263838,"0.0009"
"blanknewsonline.wordpress.com","NG","US-CA",164030,"0.0006",166978,"0.0006"
"boksburgadvertiser.co.za","ZA","US",111327,"0.0012",298218,"0.0031"
"brakpanherald.co.za","ZA","US",109681,"0.0011",279509,"0.0029"
"breezefmchipata.com","ZM","DK",36665,"0.0006",36658,"0.0006"
"bulawayo24.com","ZW","GB",62475,"0.0018",82171,"0.0024"
"burundi-24.com","BI","FR",17808,"0.0001",17808,"0.0001"
"businessdayonline.com","NG","US-MI",81733,"0.0003",146812,"0.0005"
"businessnews.com.ng","NG","US",44844,"0.0002",44844,"0.0002"
"businessworldng.com","NG","VG",11658,"0.0000",20116,"0.0001"
"buzzghana.com","GH","US",99925,"0.0005",101253,"0.0005"
"buzzkenya.com","KE","US",241197,"0.0010",241197,"0.0010"
"buzznigeria.com","NG","US",122459,"0.0004",123609,"0.0004"
"buzzsouthafrica.com","ZA","US",113911,"0.0012",114794,"0.0012"
"cameroonjournal.com","CM","US-CA",146892,"0.0013",146892,"0.0013"
"cameroonwebnews.com","CM","US-MA",11783,"0.0001",11783,"0.0001"
"capitalradio.co.ug","UG","US",84269,"0.0005",85013,"0.0005"
"centrafrique-presse.over-blog.com","CF","FR",89677,"0.0010",249408,"0.0029"
"citizen.co.za","ZA","ZA",229326,"0.0024",229326,"0.0024"
"city1051fm.com","NG","US-TX",71350,"0.0002",71350,"0.0002"
"citybuzz.co.za","ZA","US",104980,"0.0011",242911,"0.0025"
"comarochronicle.co.za","ZA","US",113073,"0.0012",287477,"0.0030"
"completesportsnigeria.com","NG","US",134408,"0.0005",134408,"0.0005"
"congo-liberty.com","CG","US-AZ",29181,"0.0003",105744,"0.0011"
"congopanorama.info","CD","JP",10583,"0.0002",10583,"0.0002"
"crossriverwatch.com","NG","US",114787,"0.0004",114787,"0.0004"
"crtv.cm","CM","CM",403686,"0.0035",403686,"0.0035"
"cyberzena.com","ET","DE",10984,"0.0001",11011,"0.0001"
"dailypost.ng","NG","US",137249,"0.0005",138110,"0.0005"
"dailypost.ug","UG","US-CA",106926,"0.0007",106926,"0.0007"
"dailyreviewonline.com.ng","NG","DE",8924,"0.0000",9394,"0.0000"
"dailystar.com.ng","NG","US",76281,"0.0003",77054,"0.0003"
