"cc3","cc","domain","rtt"
"ZAF","ZA","www.sportelizabeth.co.za",164
"ZAF","ZA","www.peoplespost.co.za",30
"TUN","TN","www.gnet.tn",28
"ZMB","ZM","www.talk90point5.co.zm",1
"ZAF","ZA","www.volksblad.com",20
"ZAF","ZA","www.hermanustimes.co.za",24
"ZAF","ZA","www.pmbfever.co.za",19
"ZAF","ZA","www.districtmail.com",38
"ZAF","ZA","www.weslander.co.za",41
"ZAF","ZA","www.ilanganews.co.za",23
"ZAF","ZA","www.sport24.co.za",3
"ZAF","ZA","www.702.co.za",44
"ZAF","ZA","www.beeld.com",22
"ZAF","ZA","www.sunshinecoastexpress.co.za",23
"ZAF","ZA","www.politicsweb.co.za",21
"ZAF","ZA","www.netwerk24.com",19
"TUN","TN","www.lapresse.tn",29
"ZAF","ZA","www.witness.co.za",30
"ZAF","ZA","www.ilanganews.co.za",94
"ZAF","ZA","www.sportelizabeth.co.za",9
"MAR","MA","www.leseco.ma",143
"ZAF","ZA","www.supersport.com",40
"ZAF","ZA","www.polity.org.za",33
"MWI","MW","www.manaonline.gov.mw",71
"ZAF","ZA","isoexpress.co.za",28
"ZAF","ZA","www.zoutnet.co.za",30
"ZAF","ZA","www.capetalk.co.za",25
"BDI","BI","www.netpress.bi",2
"ZAF","ZA","www.theannouncer.co.za",37
"ZAF","ZA","mthathaexpress.co.za",3
"ZAF","ZA","www.polity.org.za",21
"ZAF","ZA","www.eastlondonexpress.co.za",24
"ZAF","ZA","isoexpress.co.za",24
"ZAF","ZA","www.zoutnet.co.za",48
"ZAF","ZA","www.news24.com",23
"ZAF","ZA","www.capetalk.co.za",23
"ZAF","ZA","www.thebugle.co.za",22
"ZAF","ZA","www.gbn.co.za",3
"ZAF","ZA","www.potchefstroomherald.co.za",31
"ZAF","ZA","sedibengster.com",182
"ZAF","ZA","www.news24.com",16
"KEN","KE","www.kbc.co.ke",4
"BWA","BW","www.dailynews.gov.bw",22
"ZAF","ZA","www.kbn.co.za",3
"ZAF","ZA","www.carletonvilleherald.com",25
"ZAF","ZA","www.georgeherald.com",19
"ZAF","ZA","www.rapport.co.za",18
"LSO","LS","www.lena.gov.ls",68
"ZAF","ZA","www.edenexpress.co.za",32
"SYC","SC","www.sbc.sc",71
"ZAF","ZA","www.newspapers.co.za",24
"ZAF","ZA","www.cbn.co.za",13
"ZAF","ZA","www.greytown.co.za",27
"MAR","MA","bayanealyaoume.press.ma",149
"ZAF","ZA","www.edenexpress.co.za",30
"DZA","DZ","www.entv.dz",71
"ZAF","ZA","citizen.co.za",49
"ZAF","ZA","www.noseweek.co.za",37
"BWA","BW","www.sundaystandard.info",5
"ZAF","ZA","www.cbn.co.za",2
"MDG","MG","www.lagazette-dgi.com",2
"ZAF","ZA","www.tygerburger.co.za",1
"ZAF","ZA","www.greytown.co.za",13
"ZAF","ZA","citizen.co.za",37
"ZAF","ZA","www.observer.co.za",5
"ZAF","ZA","www.citypress.co.za",23
"ZAF","ZA","www.ud-news.co.za",19
"ZAF","ZA","www.grocotts.co.za",31
"ZAF","ZA","www.eikestadnuus.co.za",19
"MOZ","MZ","www.jornalnoticias.co.mz",4
"ZAF","ZA","www.observer.co.za",19
"ZAF","ZA","polokwaneexpress.co.za",23
"ZAF","ZA","www.kougaexpress.co.za",5
"ZAF","ZA","www.cxpress.co.za",19
"ZAF","ZA","www.ud-news.co.za",49
"ZAF","ZA","www.sake24.com",2
"ZAF","ZA","landbou.com",4
"ZAF","ZA","www.paarlpost.co.za",22
"ZAF","ZA","www.kwevoel.co.za",2
"TGO","TG","www.editogo.tg",1
"ZAF","ZA","www.southafrica.info",21
"MOZ","MZ","www.rm.co.mz",11
"ZAF","ZA","ewn.co.za",66
"ZAF","ZA","www.pe-express.co.za",32
"ZAF","ZA","www.kwevoel.co.za",21
"ZAF","ZA","www.dieburger.com",24
"TUN","TN","www.essahafa.info.tn",28
"ZAF","ZA","www.vaalweekblad.com",25
"ZAF","ZA","www.peoplespost.co.za",19
"ZAF","ZA","www.dieburger.com",41
"TUN","TN","www.essahafa.info.tn",28
"ZAF","ZA","www.sportelizabeth.co.za",17
"ZAF","ZA","www.peoplespost.co.za",49
"TUN","TN","www.gnet.tn",30
"ZMB","ZM","www.talk90point5.co.zm",7
"ZAF","ZA","www.volksblad.com",5
"ZAF","ZA","www.hermanustimes.co.za",31
"ZAF","ZA","www.pmbfever.co.za",23
"ZAF","ZA","www.districtmail.com",3
"MWI","MW","www.capitalradiomalawi.com",5
"DZA","DZ","www.carrefourdalgerie.com",243
"ZAF","ZA","www.weslander.co.za",11
"ZAF","ZA","www.ilanganews.co.za",3
"ZAF","ZA","www.sport24.co.za",19
"ZAF","ZA","www.702.co.za",215
"ZAF","ZA","www.beeld.com",2
"ZAF","ZA","www.sunshinecoastexpress.co.za",3
"ZAF","ZA","www.politicsweb.co.za",28
"ZAF","ZA","www.netwerk24.com",24
"ZAF","ZA","www.districtmail.com",44
"TUN","TN","www.lapresse.tn",28
"ZAF","ZA","www.witness.co.za",1
"ZAF","ZA","www.ilanganews.co.za",37
"ZAF","ZA","www.sport24.co.za",23
"ZAF","ZA","www.702.co.za",47
"ZAF","ZA","www.supersport.com",13
"ZAF","ZA","mthathaexpress.co.za",28
"ZAF","ZA","www.polity.org.za",23
"MWI","MW","www.manaonline.gov.mw",13
"ZAF","ZA","isoexpress.co.za",44
"ZAF","ZA","www.zoutnet.co.za",3
"ZAF","ZA","www.theannouncer.co.za",5
"ZAF","ZA","mthathaexpress.co.za",21
"ZAF","ZA","www.polity.org.za",11
"ZAF","ZA","www.eastlondonexpress.co.za",31
"ZAF","ZA","isoexpress.co.za",13
"ZAF","ZA","www.zoutnet.co.za",19
"ZAF","ZA","www.news24.com",26
"ZAF","ZA","www.capetalk.co.za",26
"ZAF","ZA","www.thebugle.co.za",44
"ZAF","ZA","www.gbn.co.za",22
"ZAF","ZA","www.potchefstroomherald.co.za",53
"ZAF","ZA","sedibengster.com",35
"ZAF","ZA","www.news24.com",22
"BWA","BW","www.dailynews.gov.bw",4
"ZAF","ZA","www.kbn.co.za",30
"ZAF","ZA","www.carletonvilleherald.com",4
"ZAF","ZA","www.georgeherald.com",19
"ZAF","ZA","www.rapport.co.za",25
"NAM","NA","www.nampa.org",176
"ZAF","ZA","www.newspapers.co.za",71
"ZAF","ZA","www.kbn.co.za",2
"ZAF","ZA","www.cbn.co.za",32
"ZAF","ZA","www.georgeherald.com",27
"MAR","MA","bayanealyaoume.press.ma",123
"ZAF","ZA","www.edenexpress.co.za",11
"ZAF","ZA","citizen.co.za",26
"ZAF","ZA","www.noseweek.co.za",32
"BWA","BW","www.sundaystandard.info",5
"ZAF","ZA","www.cbn.co.za",20
