"domain","probe_cc","hosting_cc1","hop_count"
"247ureports.com","NG","US",7
"263chat.com","ZW","US",12
"7sur7.cd","CD","US",8
"abcafricanews.com","UG","US",13
"abidjantv.net","CI","CA",12
"abpinfos.gov.bi","BI","DE",9
"abujavoice.com","NG","US",10
"acpcongo.com","CD","US",9
"actualites.visages-du-benin.com","BJ","US",10
"addisfortune.net","ET","US",9
"africanreporter.co.za","ZA","US",4
"africansearchlight.com","NG","US",6
"ain-oulmene.com","DZ","FR",7
"akhbarachark.dz","DZ","FR",6
"akhbarelyom.com","EG","US",5
"albayane.press.ma","MA","MA",6
"albertonrecord.co.za","ZA","US",4
"alexnews.co.za","ZA","US",4
"algerienetwork.com","DZ","US",9
"alhadath-tv.com","EG","JO",8
"almaugif.com","SS","US",9
"angolanas.net","AO","US",9
"ar.leaders.com.tn","TN","FR",8
"asemana.sapo.cv","CV","FR",6
"assudan.net","SD","US",9
"atoptogo.blogspot.com","TG","US",8
"bamendaonline.net","CM","US",16
"banthutimes.com","MW","US",8
"bayanealyaoume.press.ma","MA","MA",6
"bbstv.ug","UG","US",10
"bedfordviewedenvalenews.co.za","ZA","US",5
"bejaia-aujourdhui.com","DZ","FR",6
"bejaia-aujourdhui.com","DZ","NL",5
"bejaia-aujourdhui.com","DZ","US",8
"bel-abbes.info","DZ","FR",4
"beninsite.net","BJ","US",7
"benonicitytimes.co.za","ZA","US",5
"bereamail.co.za","ZA","US",5
"bizwatchnigeria.ng","NG","US",10
"bj.jolome.com","BJ","US",10
"blanknewsonline.wordpress.com","NG","US",7
"boksburgadvertiser.co.za","ZA","US",4
"brakpanherald.co.za","ZA","US",4
"breezefmchipata.com","ZM","DK",8
"bulawayo24.com","ZW","GB",8
"burundi-24.com","BI","FR",9
"businessdayonline.com","NG","US",6
"businesseyengr.com","NG","JP",10
"businessnews.com.ng","NG","US",6
"businessworldng.com","NG","VG",9
"buzzghana.com","GH","US",5
"buzzkenya.com","KE","US",5
"buzznigeria.com","NG","US",6
"buzzsouthafrica.com","ZA","US",5
"cameroonjournal.com","CM","US",41
"cameroonwebnews.com","CM","US",4
"capitalradio.co.ug","UG","US",7
"citizen.co.za","ZA","ZA",6
"city1051fm.com","NG","US",10
"citybuzz.co.za","ZA","US",4
"comarochronicle.co.za","ZA","US",4
"completesportsnigeria.com","NG","US",6
"congo-liberty.com","CG","US",8
"congopanorama.info","CD","JP",11
"crossriverwatch.com","NG","US",6
"crtv.cm","CM","CM",41
"cyberzena.com","ET","DE",7
"dailynews.gm","GM","FR",5
"dailypost.ng","NG","US",6
"dailypost.ug","UG","US",12
"dailyreviewonline.com.ng","NG","DE",8
"dailystar.com.ng","NG","US",7
"desertherald.com","NG","US",7
"dieson.mobi","ZA","ZA",6
"eagle.co.ug","UG","US",12
"eaglereporters.com","NG","US",7
"ecadforum.com","ET","US",5
"echosdesidibelabbes.info","DZ","GB",6
"economiaemercado.sapo.ao","AO","PT",8
"ectv.org","ET","US",13
"edennewspaper.org","CM","AU",43
"egypttoday.com","EG","US",6
"el-youm.info","DZ","FR",4
"elayem.com","DZ","US",9
"elmassar-ar.com","DZ","FR",8
"elraaed.com","DZ","FR",8
"elwaha-dz.com","DZ","GB",6
"elwatani.com","DZ","FR",8
"ethioforum.org","ET","US",6
"ethiopiaforums.com","ET","US",12
"ethiopianreview.com","ET","FR",6
"ewn.co.za","ZA","ZA",15
"exposeghana.com","GH","US",9
"eyeradio.org","SS","GB",9
"financenews.press.ma","MA","FR",7
"flashpointnews.wordpress.com","NG","US",7
"focus.rw","RW","US",10
"foroyaa.gm","GM","US",8
"fourwaysreview.co.za","ZA","US",4
"gainako.com","GM","US",7
"germinalnewspaper.com","CM","US",42
"germistoncitynews.co.za","ZA","US",5
"ghanaianlens.com","GH","",6
"ghanaianlens.com","GH","US",8
"ghananewslink.com","GH","US",10
"ghananewsportal.com","GH","US",9
"ghheadlines.com","GH","DE",9
"gistyinka.net","NG","US",8
"globalvillageextra.com","NG","US",10
"gloryfm.com","NG","VG",10
"goldenpennewspaper.blogspot.com","NG","US",5
"graphic.com.gh","GH","US",8
"happyghana.com","GH","US",8
"hebdo.ahram.org.eg","EG","EG",4
"highwaymail.co.za","ZA","US",5
"hmetro.co.zw","ZW","US",12
"iharare.com","ZW","US",10
"imvahonshya.co.rw","RW","US",11
"ireports-ng.com","NG","RU",7
"isoexpress.co.za","ZA","ZA",7
"itvradionigeria.com","NG","US",7
"jamboleonews.blogspot.com","TZ","US",7
"joburgeastexpress.co.za","ZA","US",5
"jornaldeangola.sapo.ao","AO","PT",8
"jornaldeeconomia.sapo.ao","AO","PT",8
"jornaldosdesportos.sapo.ao","AO","PT",8
"jornalf8.net","AO","PT",5
"journal.rdpcpdm.cm","CM","US",42
"kabyleuniversel.com","DZ","US",7
"kampalasun.co.ug","UG","US",12
