"cc","total","localized","remote"
"AO",30,1,29
"BF",21,2,19
"BI",15,1,14
"BJ",27,0,27
"BW",15,4,11
"CD",27,0,27
"CF",7,0,7
"CG",10,0,10
"CI",25,0,25
"CM",29,1,28
"CV",10,0,10
"DJ",6,2,4
"DZ",129,9,120
"EG",36,5,31
"EH",10,0,10
"ER",13,0,13
"ET",28,1,27
"GA",8,0,8
"GH",48,1,47
"GM",10,1,9
"GQ",23,0,23
"GW",4,0,4
"KE",25,1,24
"KM",5,0,5
"LR",20,0,20
"LS",6,2,4
"LY",12,2,10
"MA",42,6,36
"MG",14,1,13
"ML",10,1,9
"MR",7,1,6
"MU",11,1,10
"MW",20,2,18
"MZ",8,3,5
"NA",15,2,13
"NE",5,0,5
"NG",190,0,190
"RE",6,0,6
"RW",8,1,7
"SC",5,1,4
"SD",12,1,11
"SH",6,0,6
"SL",34,0,34
"SN",27,0,27
"SO",24,1,23
"SS",16,0,16
"ST",4,0,4
"SZ",3,2,1
"TD",7,0,7
"TG",23,1,22
"TN",21,3,18
"TZ",26,1,25
"UG",32,0,32
"YT",6,0,6
"ZA",134,63,71
"ZM",42,2,40
"ZW",88,0,88
